stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,somites,spinal.cord,taste,vasculature
  5-6,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,4.52,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1.31,0,0,5.55,0,1,0,0
 24-34,0,2.61,0,0,0,0,0.66,0,2.44,0,0,4.85,0,0,27.08,0.9,0,0,0.63
 36-46,0,0,18.72,0,1.78,0,0,0,0,0,2.42,0,0,0,12.43,0,0,0,0
 48-58,0,0,0,0,0,0.49,1,0,0.38,0,1.3,3.31,0,0,20.92,0,0.73,0,0.43
 60-70,0,1.38,0.68,1.87,0,0,0,0,0,0,2.84,5.33,0,0.83,38.72,0,0,0,0
 72-82,0,0,0.87,2.93,0,0,2.72,0,1.66,0,5.22,7.93,0,0,15.89,0,0,0,0
 84-94,0,1.46,0,0,0,0.58,5.2,0.78,3.1,0,8.41,0,0,0,88.45,0,0,1.27,0
 96-106,0,6.17,0,0,0,4.73,1.06,0,2.68,0,10.44,6.62,0,0.7,85.35,0,0,7.15,0
108-118,0,5.25,0,0,2.77,5.65,0,0,2.53,1.19,7.38,0.91,0,0,47.04,0,0,1.84,0
120,0,17.71,0,2.36,0,1.29,0,0,1.06,0,1.15,0,2.06,0,31.54,0,0,0,0
