stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.94,39.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.88,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.74,0,0,0,6.56,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,0,0,0,19.01,0,0,0,3.64,0,0,0,0,0
 14-21,0,0,0,0,1.89,0.89,0,5.74,0,0,0,1.25,0,0,0,0,0,0,3.54,0,0,2.23,18.13,0,0,0.88,0,0,0,0.82,0,3.67,2.07,0,0,0
 24-34,0,0,0,0,1.65,0,0,4.75,0,0.62,0,0,0,0.8,1.01,0,0,0,4.17,0,0,2,60.66,0.59,0,1.46,0,0,3.43,0,0,2.03,8.52,0,2.13,0
 36-46,0,0,0,0,0,0,0,6.53,0,0,0,1.18,1.33,0,0,0,0,0,11.37,0,0,2.33,117.72,0,2.35,0,0,0,1.76,0,0,0,19.88,0,9.77,0
 48-58,0,0,0,0,1.69,0,0,30.86,0.67,0,0.41,7.36,0.39,0,0,0,0,0,7.29,0,1.32,1.86,149.9,0.91,0,0,0,0,3.34,0,0,0,23.54,0,2.05,0
 60-70,0,0,0,0,5.28,0,0,17.66,0,0,0,12.58,1.62,3.92,0,0,1.96,0,17.61,0,0,0.57,164.46,0,0,0,0,0.63,5.74,0,0,0,15.54,0,1.78,0
 72-82,0,0,0,0,5.81,0,3.14,28.95,0,0,0.69,8.08,3.02,0.49,0,0,0,0,11.79,0.61,0,0,131.38,0,0.53,5.61,0,0,1.29,0,0,0,7.59,0,2.06,0
 84-94,0,0,0,0,2.92,0,0,17.75,0,0.55,3.38,12.6,2.44,5.19,0,0.67,0,0,17.4,4.15,0,1.86,102.09,0.84,0,0,0,0,12.56,0,0.67,0,21.9,1.25,3.16,4.84
 96-106,0,0,0.63,0,0,0.8,0,16.2,0,0.66,2.92,22.49,0,2.68,0,0,0,0,14.94,0,0,0,73.61,0.68,0,2.01,0,0,23.12,0,0,0,4.35,1.22,1.37,0
108-118,0,0,0.52,0.49,8.78,0,6.51,12.78,0,0,0.74,11.39,0,7.56,0,1.42,1.76,0,8.54,0,0,4.43,82.85,0,1.52,0,0,0,6.87,0,0,0,4.27,0,0,1.68
120,1.19,0,0,0,7.4,1.3,0,7.5,0,1.68,0,1.26,0,3.25,0,0,0,1.05,8.25,0,0,12.7,120.05,0,0,0,0,5.08,2.9,0,0,0,13.05,0,1.89,0
