stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.26,2.28,0,0,0,0
 24-34,0,0,0.62,0,0,0,0,0,0.71,0,0,0,1.52,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,3.96,12.03,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.7,0,0,0,0,2.74,0,0,0,0,1.89,0,0.58,11.93,0,0,0,0,0,0,0.7,6.5,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,5.57,0,0,1.91,0,10.33,0,0,0,1.04,0,0,0.45,7.51,0,0,4.32,0
 60-70,0,0,0,0,0,3.74,0,46.62,0,0,0,0,0,0,0,31.88,0,0,0,0,3.29,0,0.59,0,0,0,0,0,6.07,0,0,3.77,0
 72-82,0,0,0,0,0,21.98,1.55,39.21,4.23,0,0,0,0,0,0,202.89,0,2.92,0.56,0,34.14,0,0,2.19,0,0,0.72,0,1.29,2.61,0,4.27,0
 84-94,0,0,2.11,0,0,19.72,0.6,38.3,0,0.86,0,2.65,0,0,0.67,664.05,4.39,6.8,0,1.34,38.31,0,0,0,0.79,0,0,0,9.66,0,1.38,0,0
 96-106,0,0,0.64,7.87,0,70.34,0,81.62,1.03,0,2.93,0,1.04,0,0,928.76,0,24.45,0,0,142.83,0.74,0,1.3,4.07,0,0,0.62,11.82,0,0,13.51,23.49
108-118,0,1,4.45,0,0.49,39.21,0,93.82,6.96,0,0,0.87,0,0.89,0,2753.32,0,15.35,0,0.59,157.47,0.54,4.73,0,6.05,0,0,0,0,0,1,0,0
120,0,0,0,2.63,0,52.64,0,96.3,2.28,0,0,0,0,0,0,1228.13,1.61,10.71,0,0,139.42,0,0,7.06,3.72,0,0,0,0,0,0,6.1,0
