stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  3-4,58.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,14.59,0,0,0,0,0,0,0
 14-21,0,1.23,1.28,0,0,0,0,0,0,0,0,0,0,0,11.36,1.42,0,0,4.96,7.91,0,0
 24-34,0,0,0.64,0,0.89,0,0,0,0,0,0,2.1,0,4.93,35.73,0.97,0,0,0,14.08,0.8,0
 36-46,0,0,0,0,1.81,0,0,0,0,0,0.58,4.4,0,0,43.28,0,0,0,0,14.01,0,0
 48-58,0,0,1.17,0,8.9,0,0,2.86,0,0,0,5.39,0,0,102.82,0,0,4.57,0,20.28,0.79,0
 60-70,0,0,0,0,21.66,0,0,0,0,0,0,5.88,0,0,132.84,0,1.19,0,0,22.74,0,0
 72-82,0,0,9.68,0,14.92,0,0.94,2.23,0,0,0,0,2.24,0.95,40.63,0,0,0,3.62,19.69,3.3,0
 84-94,0,0,0,0,3.62,0,0,1,0,0,0,7.33,0,0,53.04,0,0,0,0,8.82,1.56,0
 96-106,0,0,5.84,0,27.47,0,0,0,0.89,0,0,0,0,0,56.74,0,0.6,0.77,8.12,5.52,0,0
108-118,0,0,0,0,16.63,2.29,0,2.34,0,0.44,0,2.26,0,0.7,18.27,0,1.69,0,0.79,0.95,0,0.59
120,0,0,0,3.15,6.65,0,0,21.33,0,0,0,6.5,0,0,76.83,0,0,0,0,6.92,1.67,0
