stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,29.91,878.45,0,0,0,0,0,0,0,0,66.7,0,0,0,0
  5-6,81.66,588.34,0,0,0,0,0,0,65.18,0,21.56,0,0,0,0
  7-9,0,12.08,3.38,0,31.54,0,6.59,0,209.78,111.33,0,7.76,0,0,0
 10-12,0,0,15.79,0,13.4,0,0,0,78.24,44.53,0,0,0,6.24,0
 14-21,0,0,0,0,0,0,0,0,14.9,0,0,0,1.14,0,2.5
 48-58,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0
 60-70,0,0,0,0,1.52,0,0,0,1.21,0,0,0,0,0,0
 72-82,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,1.28,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,0,0.83,0,0,1.57,0,0,0
108-118,0,0,1.47,0,0,1.06,0,1.03,0,0,0,1.9,0,0,0
120,0,0,0,0,0,0,0,0,3.98,0,0,5.36,0,0,0
