stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.67,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19,5.72,0,3.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.43,10.58,1.13,0,0,0,0.88,0,2.09,0,0.96,0,0,0,0.88,1.53,0,0,4.01,41.01,0,0,0,0,0,15.22,3.6,0,3.25,228.09,0,2.49,0,0
 24-34,0,0,0,6.44,0.81,1.78,0,0,0,0.76,0,0,1.01,0,0,0,1.22,0.78,26.3,2.05,0.89,4.72,62.63,1.19,0,0,0,0,0,1.52,0,1.7,565.36,0,2.04,0,0
 36-46,0,0,0,0.59,0.67,6.33,0,0,0,2.15,0,0,1.72,0,0,0,0,0,16.46,0,11.98,0.65,60.73,0,0.8,0,0,1.46,0,0,0,0,490.66,0,1.14,0,0
 48-58,0,0,0,1.25,0,22.32,0,0,0,14.03,0,0,1.28,0,0,0,0,0,10.64,1.87,0.6,1.16,190.4,1,0,0,0,7.79,0,0,0.43,0,560.46,0,0.39,0,0
 60-70,0,0,0,1.15,0,191.91,0,0,0,5.3,0,0,0,0,0,0,0,0,11.97,1.46,0,0,343.5,0,0,0,0,0,0,0,0,0,647.59,1.22,0,0,0
 72-82,0,0.81,0,1.56,0,250.24,2.7,0,0,9.92,0,0,0,0,0,0,0,0,11.2,1.31,0,0,432.67,0,3.02,0,0,0,0,0,0,0,517.85,0,0,0,0
 84-94,0,0,0,3.1,0,211.06,0,0,1.21,4.68,0,0,2.41,0,0,0.66,0,0,9.24,0.84,1.36,0,323.23,0,0,0,1.53,0,0,1.98,0,0,258.77,0,0,0.57,7.05
 96-106,0,0,0,2.96,0,234.43,0,0,0,15.05,0,0,0,0,2.06,0,0,4.4,9.95,0,0,0,314.91,0,0,0,0,1.44,0,2.16,0,0,183.25,1.56,0,3.3,0
108-118,0,0,0,3.86,0,186.91,0,0.46,0.73,24.14,0.86,0,0,0,10.3,0,2.12,0,13.23,0,2.5,0.92,288.07,0,0,0,0,0,0,0.41,0,0,144.35,0,0.71,0,0
120,0,0,0,0,0,326.19,0,0,11.25,6.36,0,0,0,0,7.72,0,0,0,4.65,0,0,2.38,404.67,0,0,0,0,0,0,1.73,0,0,411.42,1.56,0,1.59,0
