stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.42,1041.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.72,0,0,0,0,0,0,0,0,0,0
  5-6,20.27,604.11,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,72.71,0,0,0,0,0,69.61,0,0,0,0,0,0,0,0,0,0
  7-9,15.97,8.3,32.39,0,0,0,42.55,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,0,0,263.86,7.18,0,0,85.7,0,3.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.66,50.78,0,0,0,20.83,0,0,0,0,26.95,0,0,0,0,0,0,0,0,0,0,0,796.63,16.22,0,0,277.42,0,12.28,9.22,11.53,0,4.35,0,0,0,0,0,0
 14-21,0,0,5.82,78.25,25.68,0,16.18,0,0,1.02,2.51,10.06,5.19,0,0,0,0,26.42,1.05,54.32,0,0,39.37,217.23,13.46,0,0,7.68,0,14.79,39.75,1.98,7.19,28.96,53.63,0,0,9.77,0,0
 24-34,0,0,1.69,17.99,4.18,0,21.25,3.43,3.21,14.48,0.71,0,2.47,0,0.62,0,0.66,0.67,0,112.02,0,0,54.27,231.15,2.38,0.96,5.2,0,0,8.18,0,0.69,4.49,21.25,64.53,0,0,46.54,0,4.33
 36-46,0,0,0,14.92,0.6,0,8.58,0,1.86,23.83,0.74,0,3.38,0,0,0,0,2.43,9.72,59.56,0,1.49,21.61,95.78,0.66,0,0,0,1.69,7.96,0,0,0,0,25.44,0,0,14.94,0,0
 48-58,0,0,0,5.25,0,0,15.05,0,5.35,35.36,0.53,0,2.72,0,0,0,0,7.84,0,91.09,0.41,3.37,17.05,77.9,0,0,1.68,0,0,7.72,0,0.38,0,0,25.23,0,0.64,9.97,0,0
 60-70,0,0,0,0,0.6,0,3.67,0,1.21,35.46,5.35,0,0,0,0.71,3.59,0,3.64,0,74.15,0,5.57,5.85,22.83,0,0.83,0.83,0,0,0,0,1.12,1.46,0,2.11,0,0,5.51,0,0
 72-82,0,0,0,0.53,0,0,2.8,5.07,3.73,24.14,0.52,0,1.23,0,0,0,0,1.96,0,109.34,0,4.47,8.73,44.33,0,0,1.88,0,2.75,0.55,0,1,0,0,6.34,0,2.17,9.11,0,0
 84-94,0,0,0,2.34,0.68,1.06,3.19,1.26,1.27,29.27,5.39,0,0.88,1.26,0.55,1.25,0.69,19.34,0,88.46,0,2.27,5.75,30.13,0.61,0,0.79,0,0,0.74,0,0,0,0,0.63,0,3.39,5.88,3.02,0
 96-106,0,0,0,8.09,0,0,9.4,0,3,26.05,0,0,4.13,3.03,1.58,3.02,1.33,28.54,0,54.03,0,2.59,4.18,36.61,0,0.89,0.57,0,0,6.02,0,0,0,0,3.32,0.66,2.85,6.55,6.96,0
108-118,0,0,0,2.78,0.98,0,3.74,0,6.66,25.21,0.98,0,1.55,2.53,0,0.42,0.69,31.97,0.66,70.33,0,2.56,9.79,21.7,0.69,0,1.68,0,0.76,0,0,0,0,0,3.09,0,1.01,7.9,3.36,0
120,0,0,1.28,9.64,3.47,0,3.08,0,5.14,3.05,0,0,0,2.25,0,2.11,0,24.52,0,48.64,0,9.27,11.61,23.15,0,2.4,0,0,12.41,0,0,0,0,0,0,0,1.46,2.71,5.18,13.79
