stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.11,641.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6,0,0,0,0,0,0,0,0,0,0
  5-6,35.35,1053.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.87,0,0,0,13.83,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.66,0,9.92,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.82,4.71,0,0,42.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,14.64,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,31.37,0,0,0,13.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.94,1.43,0,4.8,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,4.15,21.92,0,0,0,0,0,0,1.53,1.63,0,0.95,5.95,0,0,0,0,0
 24-34,0,0,0,0,3.32,0,0,8.57,0,2.43,0,2.63,0,0,0,0,0,0,0,0,0,0.7,4.95,0,0.74,752.42,0,11.05,0.67,0,0,0.59,0,0,0,0,106.03,0,0,0.85,0,0
 36-46,0,0,0,0,10.42,0,0,35.67,0,1.39,0.57,5.41,0,0,0,0,0,0,0,0,0,8.61,0,0,2.13,3961.61,0,17.16,0,0,0,1.61,0,0,0.64,0,451.69,0,0,0,0,1.54
 48-58,0,0,0,0,22.34,2.22,0,332.55,3.01,5.3,0.62,64.42,0,0,0,0,3.13,3.43,1.08,0,2.21,33.27,1.73,8.46,2.95,5865.4,10.25,8.02,2.55,0,0,2.65,0,0.92,1.2,0,774.49,0,0,8.78,0,12.9
 60-70,0,0,0,0,16.24,0,0,595.38,0,18.63,1.91,108.26,0,5.49,0,1.75,0,8.25,1.16,2.97,0,52.8,0,0,11.58,8141.4,0,8.24,5.91,0,0,13.13,0,0,1.01,0,1197.68,0,0,0,0,33.42
 72-82,0,0,0,0,18.15,14.91,0,667.44,4.43,0.63,0,92.6,5.08,0,0.66,2.91,1.02,0,0,0,1.69,44.94,0,0,4.55,5704.57,0,15.96,11.87,0,1.4,1.04,0,4.97,0,0,774.86,1.21,4.39,0.83,2.36,14.54
 84-94,0,0,0.81,0,26.04,0.65,0,624.38,0,1.46,1.95,49.87,0.99,0,1.16,3.61,0,5.04,0,0,0,66.67,0,3.17,6.54,3983.78,0.65,11.58,8.92,0,0,12.41,0,0,0,0,646.08,1.44,0.84,10.56,1.17,0
 96-106,0,0,0,0,15.57,7.49,0,453.37,2.16,0,3.98,101.8,1.38,0,1,4.02,0,0.63,1.71,24.3,0,38.99,0,0,6.28,2777.29,1.27,17.17,12.24,0,9.49,16.74,0,0,0,0,256.74,0,2.8,0,1.91,3.35
108-118,0,0,0,0,42.39,6.89,2.57,457.07,0,0.95,0,62.61,1.3,0,0,5.01,0,6.64,2.27,3.11,0,40.82,2.89,0,1.21,3565.79,0,7.24,7.9,0,0,5.21,0,0,0,0,228.22,3.9,0.67,2.59,0.73,6.54
120,0,0,0,0,28.53,1.6,3.69,634.69,12.84,0,8.35,107.95,2.27,0,0,2.29,0,0,0,11.81,0,111.66,0,0,12.56,6524.76,0,4.31,46.1,0,0,4.35,0,0,0,0,258.06,0,0,1.1,0,16
