stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,298.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,322.13,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,0,0,9.7,0,0,33.82,0,0,0,24.04,0,0,0,0,0,0,0,0,241.98,0,0,0,35.21,0,4.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.48,0,0,23.84,0,0,0,0,0,0,0,0,0,0,0,0,284.98,7.14,0,0,31.81,0,0,0,9.47,0,0,0,0,0,0
 14-21,0,0,0,0,4.98,1.83,0,0,0,0,0,0,0,0,0,0,0.83,0,0,4.13,0,0,0,0,0,0,1.79,0,1.38,2.79,0,0,1.07,0
 24-34,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,2.33,0,2.89,0,0.71,8.22,0,1.62,0,0,1.26,0,0,0,0,0,3.64,0,3.64,0
 36-46,0,0,0,0,0,0,3.12,1.14,0,0,0,0,0,0,0,1.46,2.51,0,0,13.49,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1.72
 48-58,0,0,0,0,2.18,0,4.02,0,2.68,0,0,0,0,0,0,0,0.74,0,0.84,14.41,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0
 60-70,0,0,0,0,0.65,0,5.61,0,0,0,0,0.78,0,0,0,0,1.34,0,0,22.82,0,0,1.79,0,0.6,0,0,0,0,0,0,0,0,11.22
 72-82,0,0,0,0,0,0,3.32,0,2.45,0,0,0,0.65,0.65,0,0,0.73,0,1.32,10.86,0,1.22,0,0,0,0,0,0,0,0,0.76,0,0,9.49
 84-94,0,0,1.23,0,0.57,0,6.55,0,1.18,0,0,0,0,0,0,0,2.35,1.32,0,31.48,0,0,0.88,0,0,0,0,0,0,0,0,0,0,4.41
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,3.01,0,0,0.73,0,0.83,0,0,0,0,0,2.3,0,0,0
108-118,0,0,0,0,0,0.41,0,0,1.18,0,0,0,0,0,0,5.83,0,0,1.22,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85
120,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,17.3,0,0,0,0,0,0,1.52,0,0
