stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,116.98,1356.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.51,0,0,0,0,0,0,0,0,0
  5-6,63.72,1044.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.97,0,0,0,31.87,0,32.17,0,0,0,0,0,0,0,0,0
  7-9,30.84,8.18,0,6.6,0,0,25.14,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,340.01,6.25,0,0,98.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.18,0,12.8,0,0,21.14,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,364.61,9.87,0,0,71.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.49,1.11,6.95,0,0,0,0,0,0,0,0,0,0,0.85,7.59,0.95,0,9.98,88.52,1.63,0,0,1.72,0,1.79,15.3,0.87,0,6.72,18.27,0,1.64,0,0
 24-34,0,0,0,0,5.58,0,7.9,1.61,0,0.75,0,0,0,0,0,2.07,0,6.15,13.76,0,0,11.32,119.77,1.13,0,2.47,0,0,7.81,0,0,1.01,3.12,27.24,0,2.73,0,0
 36-46,0,0,0,0,0,0,18.72,0,0.58,8.81,0,0,1.06,0,0,0,0,1.99,6.63,0,0,1.87,72.63,1.44,1.36,0,0,0,12.35,0,0,0,0,28.46,0,5.95,0,3.49
 48-58,0,0,0,0,2.15,0,37.77,0,1.09,14.66,0,0,0.67,0,0,0,0,0,9.91,0,0,0,65,0,0,0,0,0,7.82,0,0,0,0,24.91,0,0.58,0,0
 60-70,0,0,0,0,7.3,0,24.27,0,0.63,10.33,2.49,0,0,0.65,0.61,1.16,0,0,5.08,0,0,0,65.57,0,0,0,0,0,1.27,0,0,0,0,5.04,0.61,2.13,0,0
 72-82,0,0,0.69,0,1.06,0,20.75,0,0.89,11.6,0,0,0,0,0.52,0,0,0,14.67,0,0,2.67,52.62,0,0.67,2,0,0,0.51,0,0,0,0,6.23,0,1.78,1.64,0
 84-94,0,0,0,0,0,0,3.35,0.58,0,0.77,0,0,1.81,0,0.82,0,0,0,8.05,0,0.96,0,23.98,0,0,0,0,0,4.32,0,0,0,0,2.06,0.84,1.84,0,0
 96-106,0,0,0,0,0,0,9.84,0,0,5.33,0,0,2.63,0.91,0,0,1.13,0,11.11,0,0,0.57,23.05,0.75,0,0,0,0,4.53,0,0,0,0,0,0,4.86,0,0
108-118,0,0,0,0,2.37,0.59,7.06,1.16,0,5.42,0.56,0,0,0,0,0,0,0,1.15,0,0,2.31,62.84,0,0,1.68,0,4.92,3.37,0,1.86,0,0,0,1.35,0,0,2.17
120,0,0,1.22,0,1.59,0,4.56,1.12,5.27,1.16,2.37,0,0,0,0,0,0,0,19.51,0,0,0,32.92,2.45,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0
