stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,44.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.49,0,0,0,0,0,0,0,0,0,0,29.65,3.99,0,0,33.11,0,0,0,0,0
 10-12,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.81,0,0,4.46,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,1.17,0,0,0
 24-34,0,0.67,0,0,12.51,0,0,0,0,0,0,0,5.71,0,4.29,0,0,2.59,0,0,0,0
 36-46,0,0,0,0,5.02,0,0,0,0,0,0,0,4.82,0,17.19,0,0,0,0,0,0.87,0
 48-58,0,0,0,0,7.43,0,0,0,0,1.63,0,0,3.69,0,4.77,0,0,0,0,0,0,0
 60-70,0,0,3.63,0,38.53,0,0,0,0,0,0,0,8.81,0,7.21,0,0,0,0,0,2.31,0
 72-82,0,0,2.11,0,73.1,0,2.68,0,0,0.77,9.96,0,12.39,0,3.66,0,0,0,0,0,0,0
 84-94,0,0,0,0,91.59,0,0,0,0,1.6,1.31,0,0,0,0.95,0,0,0,0,0,0,1.31
 96-106,0,0,9.65,5.62,134.68,0,0,1.16,0,2.72,4.1,1.11,3.14,0,1.87,0.73,0,0,0,0,0,0
108-118,0,0,2.93,0,147.08,0,4.25,0,2.34,7.61,11.09,0,6.9,0,5.87,0,0,0,0,0,0,0
120,0,0,0,0,305.77,2.21,4.74,0,0,0,0,0,13.64,0,11.96,0,0,0,0,0,0,0
