stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,1.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,4.64,0,0,0,0.71,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,2.15,0,1.04,0,0,0.37,0,0,0,0,0.86,0.42,0,0,9.4,0,0,0,0.5,0,0,0,0,0,0,0
 60-70,0,0,0,0,7.55,0.79,0,0,0,45.68,0,0,0,0,6.35,1.08,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0
 72-82,4.56,0.82,4.31,0,31.79,0,2.19,0,4.21,206.83,0,0,0,0,103.57,6.07,0,0.75,52.34,2.46,0,0,0,0,1.86,0,0,0.9,0,0
 84-94,0,0.63,10.01,0,20.45,0,0,0,0,443.92,0,0,0,0,286.5,3.78,0,3.56,77.43,0,0,0,6.78,0,1.61,2.5,2.16,1.12,0,16.91
 96-106,7.28,0.9,26.56,1.31,47.97,0,0,0,14.67,558.21,0,0.8,0,0.66,422.36,9.57,1.63,0,136.59,0,0,0,2.21,7.03,2.21,1.88,0,1.81,1.61,0
108-118,1.77,3.49,1.36,0.82,46.27,0,0.55,1.21,3.63,567.41,0,0,0.49,0,270.21,18.22,0,0,87.22,0,0.99,1.55,8.85,4.03,0,0,0.99,3.31,0,0
120,0,0,0,0,31.59,0,0,0,5.8,285.86,2.09,0,0,0,197.7,4.42,1.47,0,70.92,0,0,0,4.27,6.01,0,0,0,0,0,0
