stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.98,0,5.31,0,0,0,12.62,0,0,10.49,0,0,0
 14-21,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1.27,0
 24-34,0,0,0,0,0,0,0,0,0,1.46,0,0,0,2.01,0,1.24
 36-46,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0
 48-58,0,0,0,0.43,0,0,0,0.77,1.22,24.03,0,0,0,0,0,1.84
 60-70,0,0,0,7.55,0,0,0,1.41,1.13,70.85,0,0,0,0,1.31,0
 72-82,0,0,0,16.95,1.07,0,0,1.84,0,59.48,0,0,0,0,3.63,0
 84-94,0,1.92,0,17.97,0,0,0.67,3.33,0,80.48,1.95,0,0,0,1.84,0
 96-106,0,2.24,0,21.28,0.59,0,0,1.72,0,77.41,0,0,0,0,6.9,0
108-118,0,0,0,38.33,0,0,0,2.86,0,38.69,0,0.66,0,0,0,0
120,0,0,0,67.69,0,0,0,11.24,0,60.09,0,0,0,0,0,0
