stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.14,0,0,0,0,0,4.37,12.9,0,0,0,0,0,0,0
 14-21,0,0,2.75,0,0,1.6,0,0.95,0,0,0,0,0,0,0,0,0,0,0,58.82,0,4.45,0,0,0,0,0,0,2.45,46.06,0,0,0,0
 24-34,0,0,1.27,1.31,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0,7.09,457.35,0,20.36,0,0,4.5,0,0,0,0,145.26,0,0,0,0
 36-46,0,0,0.95,3.22,0,48.18,0,2.22,0,0,0,0,0,0,0,1.23,0,0,0,1202.78,0,18.7,0.77,0,0,0,0,0,0,243.53,0,0,0,0
 48-58,0,0,0.42,5.5,0,192.13,0,10.9,0,0,0,0,0,0,0,14.55,0,0,0.68,1658.95,4.97,12.17,0.82,0,0.86,0,0,0,0,289.24,0,0,1.82,14.09
 60-70,2.52,0,2.5,7.48,0,562.03,0,40.05,0,0,0,0,5.4,0,0,10.23,0,4.4,0,2460.83,6.52,24.84,1.61,0,0.97,0,0,0,0,312.68,0,0,10.46,0
 72-82,0,0,2.72,11.37,5,703.78,2.06,37.03,2.41,0,0,0,0,6.13,0.95,9.94,0,1.81,1.26,2309.36,0,22.86,3.96,0,0,0,0,0,0,215.65,0,0.63,0.94,0
 84-94,0,0,1.05,9.25,0,451.33,0,27.73,0,0.75,0,0,0,0,0,25.74,0,1.31,0,1547.17,0,15.5,6.08,0,6.25,0,0,0,0,158.93,3.74,1.91,0,0
 96-106,0,0,0.81,8.09,8.29,571.38,4,29.95,0,0.75,0,0.66,4.25,9.82,0,15.06,1.73,1.02,0,1455.67,0,24.2,6.84,0,2.89,0,0,0,0,95.31,2.05,0,3.36,7.08
108-118,0,0,0,11.81,2.88,464.56,0,22.89,5.15,2.82,0.79,0.89,0.98,1.86,0,21.44,0,0,1.19,1627.43,0,13.88,17.35,0,0.95,0,0,0.57,0,73.23,0,0,0,0
120,0,0,0,36.05,13.62,542.69,0,40.09,1.33,1.42,0,0,3.86,4.74,0,34.86,2.91,0,0,2353.05,0,16.56,8.58,0,13.64,0,0,0,0,67.09,0,0,6.48,0
