stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  7-9,5.17,0,0,0,0,8.08,0,0,0,0,0,0,20.23,0,8.35,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,0,0,0,0,0
 14-21,0,0,2.23,0,0,0,0,0,0,0,0,0,1.48,2.16,0,0,1.25,0,0
 24-34,0,0,0,0,0,0.76,0,0,0,0,1.89,0,4.87,0,0,0,0,0.83,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,1.23,0,0,0,0,0,0,14.75,0,0.58,0,0,0,0,0.71,0,0,0
 72-82,0,31.82,0,0,0,0,0,0,45.01,0,3.84,0,4.41,0,0,0,0,0,0
 84-94,0,11.38,0,0,0,0,0,0,77.2,0,10.53,0,0,0,0,0.56,0,0,0
 96-106,0,33.41,1.39,2.64,5.91,2.58,0,0,128.35,29.18,3.4,0,11.63,0,0,2.38,0,0,1.61
108-118,0,22.88,0,0,0,2.86,1.69,0,194.14,0,6.87,0,3.05,0,0,4.56,0,0,0
120,0,56.6,3.54,0,0,0,0,9.62,167.32,0,0,0,2.77,0,0,1.12,0,0,0
