stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,147.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,712,0,0,0,0,0,0,0,195.96,0,0,0,16.11,14.42,0,0,0,0
  7-9,10.65,44.87,24.73,0,0,34.74,12.77,0,0,1063.98,20.7,0,0,436.31,3.37,0,0,0,0
 10-12,0,24.33,47.19,0,0,34.01,0,0,0,1035.59,20.03,0,0,543.96,6.39,0,61.74,7.71,9.81
 14-21,0,0,0.91,1.09,1.21,0,0,0,0,14.56,0,0,0,0,1.32,1.67,0,0.81,1.91
 24-34,0,0,0,1.36,0,0,0,2.84,0,5.64,0,1.56,0,0,7.37,0,0,0.6,0
 36-46,0,0,0,0,0,0,0,1.07,0,4.51,1.14,0.81,0,0,13.93,0,0,0,0
 48-58,0,0,0,0.95,0,2.38,0,0.41,0,3.43,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.68,0,0,0,1.16,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.5,0,0,0,1.22,0,0,0,0,0,0,0,0,2.25
 84-94,0,0,0,0,0,1.08,0,8.05,0.59,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.89,0,4.76,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.55,0,0,0,0,0,0.99,0,0,5.69,0,0.56,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0
