stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0.87,0,0.97,4.21,0,0,0,0,3.24,0,0,0.96,0,6.15,0
 24-34,0,0,3.61,0,0,0,0.9,0,0,1.18,0,0,18.79,0,0,0,0,14.34,0
 36-46,0,0,2.08,0,0,0,0,1.58,0,0,0,0,13.17,0,0,0,0,3.87,0
 48-58,0,0,12.87,0,0,0,0,0,0,0.91,0,0,10.31,0,0,0,0.77,0,0
 60-70,0,0,100.17,0,0,0,0,0,0,3.01,0,0,7.37,0,0,0,0,0.74,0
 72-82,0,4.25,473.53,0,0,0,5.09,0,0,2.52,0,0,22.85,1.32,0.61,0,0,0,0
 84-94,5.18,1.3,423.73,0,0,0,8.07,1.66,0,2.49,0,0,19.42,0,0,0,6.7,1.35,0.77
 96-106,5.98,7.87,599.9,0,0,0,16.54,0,2.29,0,0.92,0.78,33.05,4.42,0,0,0,1.07,0
108-118,3.2,0,631.02,0,0,0,0.7,0,0.85,3.7,0,0,39.26,2.08,0,0,1.32,4.24,1.42
120,0,0,256.37,1.01,0,1.56,0,0,0,0,0,0,45.76,1.49,0,0,0,0,0
