stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,4.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.99,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,12.64,0.88,0,0,0,0,2.81,0,3.78,7.64,0,0,0
 24-34,1.37,3.64,1.61,0,13.01,0,0.6,0,1.42,0,0,0,0,0,0,0,1.29,6.67,0,0,0,88.86,0,0,0.64,0,0,6.58,0.69,3.26,14.01,0,1.2,0
 36-46,0,0.7,0.67,0,17.62,3.98,0,0,9.2,0,0,0,8.67,0,0,0,0,8.32,0,1.42,1.17,112.76,0,0,2.11,0,0,20.26,0,0,22.88,0,0.67,0
 48-58,0,2.62,0,0,29.92,1.98,0.55,0.41,14.34,0,0,0,0.44,0,1.05,0,2.1,18.44,1.76,0,7.01,91.73,1.63,3.43,4.74,0,0,5.64,0,0,23.88,0,0.53,0
 60-70,0,20.19,0,0,27.33,1.78,2.42,0,21.9,1.82,2.87,0.65,0.93,0,0,0,0,26.77,0,0.63,2.23,98.36,0,3.69,0,0,0,4.74,0,0,14.56,0,0,0
 72-82,0,7.27,0,0,30.65,0,0.71,1.8,28.02,0.53,0,0,0.65,0,1.61,0,0.68,43.93,0,1.45,2.58,110.4,0,0,5.58,0,0.84,2.63,0,0,4.09,0,6.32,0
 84-94,0,6.46,0,0.92,16.87,0,0,0,3.44,0,0,1.96,0.56,0,1.35,0,2.74,20.54,0,0,5.23,51.78,6.99,2.22,3.3,0,0,1.15,0,0,16.6,0,2.65,0
 96-106,0,2.58,0,0,24.23,0,0,0,16.53,0,0,1.66,0,0.95,1.71,0,0,23.33,0,1.7,0,48.35,0,0,3,0,0,5.67,0,0,2.38,0,2.05,0
108-118,0,4.94,0,0,21.59,3.54,1.9,0.64,12.91,0.42,0,0,0.48,6.11,0,5.15,0.51,18.75,0,0,2.59,37.89,1.03,0,0.56,0,0,4.74,0,0,0,0.44,0.81,1.27
120,0,7.72,0,0,3.97,0,2.34,0,41.18,0,0,0,2.21,0,2.05,1.08,0,45.69,12.14,0,7.8,105.02,0,3.57,0,0,0,0,2.89,0,4.02,0,0,0
