stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.38,160.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.29,0,6.63,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.09,0,0,37.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.57,0,0,9.28,0,0,6.03,7.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.02,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,28.09,0,0,0,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,0.97,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,1.41,4.97,0,0,0,135,19.89,0.62,0,0,0,0,0,50.77,0,0,0,0,3.27
 36-46,0,0,0,0,0,0,0,14.44,1.19,0,0,0,0,0,0,0,0,0,0,6.51,0,0,3.11,215.63,33.11,1.46,0,0,0,0,0,86,0,0,0.56,0,12.38
 48-58,0,0,0,0,0,0,0,51.48,1.58,0.87,2.73,0,1.6,0,0,0,0,0,0,11.84,0,0.42,0.43,279.93,12.77,0,0,0,0,0,0,113.3,0,0,0,0,7.13
 60-70,0,0,0,0,1.44,0,0,257.57,0,0,4.76,0,0,0,0,0.78,0.6,0,0,14.21,0,0,0,315.05,22.25,0.63,0,0,0.61,0,0,74.19,0,0,0,0,24.48
 72-82,0,0,0.71,0,2.93,0.63,0,455.83,0,2.26,10.24,0,0,0,0,3.8,1.36,3.49,0,20.25,0,0,6.16,373.15,40.93,6.57,0,0,0,0,0,69.45,0,0.56,0,0,3.9
 84-94,0,0,0,0,4.31,0,0,409.89,0,0,22.58,0,0,0,2.2,0.65,1.29,0.89,0,34.87,0,0.72,0,314.06,35.66,3.69,0,0,2.3,0,0,46.98,0,0,0,0,4.62
 96-106,0,0,0,0,8.41,0,0,449.93,0,0,37.81,0,0,0,0,0,2.89,0,0,39.23,2.61,0.94,2.94,289.7,28.57,1.31,0,0,5.92,0,0,23.35,1.66,0,0.61,2.82,4.66
108-118,0,0,0.62,0,4.86,0,3.75,369.58,0,0,40.97,0.56,0,1.13,0,0.86,4.14,1.46,0,34.74,0,0,6.44,361.8,28.91,1.78,0,2.53,0,0,0.54,11.2,0,0,0,1.93,4.88
120,1.19,0,2.96,0,1.24,0,0,197.52,0,0,99.78,0,0,0,0,2.93,11.22,0,0,25.73,0,0,7.66,488.78,48.88,12.57,0,0,10.1,0,0,10.9,0,0,10.6,0,0
