stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,191.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0
  5-6,0,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89,0,0,0,0,0,0,0
  7-9,3.61,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,3.79,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54,28.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,1.84,0,0,0,0
 24-34,0,0,0,4.91,0,0,0.81,0,1.63,0,0,0,0,0,0.67,0,1.89,0,0,3.7,3.14,0,2.45,22.98,0,0,0,0,1.04,0,0,4.98,0,0,0,0
 36-46,0,0,0,10.17,0,0,3.11,0,0,5.65,0,0,0,0,1.33,0,0,0,0,14.12,0,0,0.85,42.24,0,2.03,0,0,1.65,0.81,2.18,6.2,0,0,0,0
 48-58,0,0,0,3.88,0,0,7.06,0,0.39,13.99,0,0,0.44,0.39,8.18,0.67,0,0,4.16,12.7,0,0,1.55,13.89,0,0,0.43,0,3.47,0,0,5.28,0,0.96,0,0
 60-70,0,0,0,12.66,0,0,9.5,0.97,0,5.09,0,0,0,3.3,0,0,0,0,0,17.3,0,0,1.7,7.99,0,0,0,0,1.1,0,0,12.16,0.61,0,0,0
 72-82,0,0,0.69,1.07,0,0,3.8,6.14,0,13.07,0,0,0,7.29,0,0,0,0,0,23.56,2.07,1.12,1.85,11.96,0,2.72,1.9,0,5,0,0,0.87,0,0,0,0
 84-94,0,0,0,9.67,0,0,12.46,2.8,0,9.52,1.36,0,0,0,3.94,0,0.61,0,0,18.95,1.01,2.76,0.57,22.84,0,0,0.69,0,10.31,0,0,0,0,3.62,1.25,0.66
 96-106,0,0,0,8.96,0,0,0,7.31,0,21.34,4.72,0,0,1.05,2.83,10.79,3.39,0.6,0,18.5,4.22,0,0,23.23,0,2.44,0.59,0,15.19,0,0,1.3,1.86,0.96,0,0
108-118,0,0,0,6.37,0.55,1.65,2.74,0.91,0,9.08,0,0,0,1.15,0,1.05,0.81,0,0,38.02,3.35,0,2.06,7.77,0,0.47,1.33,1.65,4.8,0,0,0,1.24,2.36,0,0
120,0,0,0,14.24,14.43,0,0,3.85,0,0,0,0,3.96,5.43,0,0,0,0,0,48.88,1.11,0,0,6.25,0,5.92,0,0,6.58,0,0,2.98,0,6.51,0,0
