stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,256.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.74,219.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0
  7-9,0,7.84,0,4.59,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.39,0,0,0,8.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0,0,0,10.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.88,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,31.39,0,0,0,0,0,0,0,2.67,0,0,0,0,0
 24-34,0,0,0,0,3.59,0,0,33.84,0,0,0,0,0,0,0,0.63,0,0,0,0,0.77,0,0,0.72,924.16,0,0.6,0,0,12.19,0,0,11.91,0,0,0,0,0
 36-46,0,0,0,0,2.69,0,0,1689.21,0.93,0,3.16,0,0,0,1.91,0,0,0,0.66,0,5.52,0,0,0.9,3420.69,0,0,0.8,0,2.32,0,0,24.82,0,0,0,0,0
 48-58,0,0,0,0,21.96,0,0,2763.76,5.65,4.75,41.39,0,0,0,0,0,0.82,0.44,0,0,11.47,0,2.68,3.14,4736.92,0,0,3.11,4.77,1.3,0,0.61,53.83,0,0,1.48,0,5.36
 60-70,0,0,0,0,16.59,0,0,1944.37,0,0,23.99,0,5.9,0,1.83,0,0,0,0,0,20.88,0,0,0,4918.75,0,0,0.77,0,3.73,0,0,26.19,0,0,3.63,0,9.34
 72-82,0,0,0,0,17.3,4.96,0,989.81,0,5.43,33.78,0,0,0.56,0,0,1.57,0.65,0,1.28,40.15,0,1.11,1.47,2918.27,0,0,2.14,0,0.58,0,0.88,10.56,0,0,5.92,0,15.05
 84-94,0,0,3.44,0,19.28,1.42,0,843.79,0,1.38,27.4,0,0,0,0.86,0,2.58,2.15,0,0,23.76,0,5.02,0.65,2189.27,0.67,0,2.33,0,4.21,0,0,13.94,1.19,0,1.82,0,0
 96-106,0,0,0,0,18.47,38.31,0,682.61,2.24,1.69,48.79,0,0,2.81,0.86,0,0,0,0,0,10.08,3.74,3.46,3.58,1989.95,0,0,0,0,1.34,0,0,7.95,0,0,0,1.64,0
108-118,0,0,0,0,13.9,11.23,0.9,804.73,1.31,0,14.6,0.54,0,0,0.49,0,0,0,0,0,24.05,1.41,6.33,0.99,2666.4,1.07,3.5,0,0,3.87,0,0,8.09,0,0,3.93,0,0
120,0,0,0,0,47.38,0,0,704.67,0,0,32.42,0,0,0,0,1.65,0,0,5.48,0,15.51,0,2.76,0,2626.39,0,0,0,0,12,6.3,0,9.07,0,8.19,0,0,0
