stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,254.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,243.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,31.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.53,22.07,7.3,0,0,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.73,3.67,0,0,51.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.55,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.4,13.64,0,0,37.81,0,0,0,7.22,0,0,0,0,0,0,0
 14-21,0,1.36,1.82,10.92,2.19,10.02,0,0,0,2.56,2.48,0,0,0,0,0,0.93,0,0.85,18.33,0.95,0,17.86,170.43,0,1.1,0,4.86,0,15.33,10.34,3.6,33.4,46.36,0,0,0,0,0
 24-34,0,0,0,10.38,0,36.48,0,1.66,0,6.4,0,0,1.24,0.64,0,0,1.7,0.65,6.14,36.21,0,0,17.05,433.89,0.75,0,1.72,0,0,66.62,0,0,11.9,95.6,0,0,11.91,0,0
 36-46,0,0,0,14.48,0,71.46,0,3.65,0,10.42,0,0,0,0,8.04,0,0,0,1.14,34.53,0,0,11.22,246.05,0,2.5,0.8,0,0,62.19,0,0,0,39.05,0,0,15.12,0,2.1
 48-58,0,0,0,1.19,0,58.05,0,0.37,0.45,17.79,0,0.37,1.63,0,0.46,0,4.81,0,0,33.92,0,1.52,3.88,101.46,1.4,0.96,1.07,0,0,60.69,0,0.43,0,19.94,0,0,2.83,0,0
 60-70,0.81,0,0,16.94,0,31.58,4.19,5.53,0,11.92,0,0,0,0,0,0,1.26,0,0,30.41,2.4,2.97,1.55,69.3,0,0,3.39,0,0,79.49,0,0.93,0,16.77,0,0,2.97,0,0
 72-82,0,0,0,6.19,0,10.77,0,11.22,0,7.1,0.53,0,0,3.64,4.36,0,1.7,0,0,24.16,0.56,1.01,0.75,42.3,0,1.43,0.79,0,0,66.77,0,0,0,1.41,0,0.56,2.82,2.96,0
 84-94,0,0,0,3.66,0,24.3,0.69,2.76,0,4.46,0,0.71,0,0,1.04,0,0.84,0,3.09,19.5,1.81,0,3.3,35.3,0,2.81,3.45,0,0,97.72,0,0,0,2.81,0,0,0,2.06,0
 96-106,0,0,0,6.51,0,4.67,0,0.66,1.71,21.62,0,0,0,0,4.21,0,1.85,0.59,0,22.8,2.28,4.81,2.88,64.67,0,5.22,5.89,0,0.83,54.67,0,0,0,0,2.25,0,0,1.6,0
108-118,0,0,0,6.64,0,18.06,0,0.74,0,15.35,1.64,0,3.48,0.54,6.42,1.87,0.53,0,0,37.17,0,4.08,0.56,24,0,0,4.32,0,2.35,37.69,0,0,0,3.28,0.61,0,5.37,0,0
120,0,0,0,6.74,0,6.45,0,0,3.94,21.28,0,0,4.06,0,0,1.17,0,0,0,25.77,2.95,12.62,4.59,24.54,0,0,0,0,0,22.3,0,0,0,0,0,0,1.26,0,0
