stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0,0,0,0,0,0
  7-9,5.53,0,3.3,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.3,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.01,0,2.55,0,1.78,0,6.62,0,0,0,0,0,0,0,0,1.15,0,0,2.99,49.96,20.75,0,0.8,5.36,2.37,1.12,1.37,0.85,4.72,3.83,20.21,0,0,0
 24-34,0,0,0,7.64,0,0,0,5.9,0.83,6.77,0,0,0,0,1.45,0,0,0,14.34,0,0,7.78,59.59,5.98,0.83,3.55,0,3.69,0,0,0,3.86,0.6,18.71,0,0,0
 36-46,0,0,0,7.35,0.79,0,1.56,8.28,0,12.38,0,0,0,0,0,3.33,0,0,40.1,0,0,5.31,64.06,6.36,0,0,0,0,0,4.42,0,3.9,0,24.26,0,0,0
 48-58,0,0,0,16.62,0,3.97,1.07,1.39,2.16,6.96,0,0,0,0,0,7.19,0,0,48.33,0,0,3.61,13.97,6.29,0,0,0,0.72,0,0,0,2.5,0,6.05,0,0.39,0
 60-70,0,0,0,19.26,0,1.9,1.69,2,0,23.53,0,0,0,0,0,0.72,0,0.74,108.92,2.18,0,5.5,4.81,10.28,0,0.58,0,0,0,0,0,0,0,4.04,0,3.76,0
 72-82,0,0,0,6.68,0,6.57,1.55,0.55,5.61,30.5,0,0,0,0,0,2.8,0.69,0,154.71,0,0.49,8.08,8.48,0,0,3.89,0,0,0,0,0,4.37,0,7.38,0.52,5.09,0
 84-94,0,0,0,16.42,0,11.67,2.16,3.68,2.43,28.08,0,0.71,2.87,0,0,1.65,0,4.16,191.38,0,0,9.53,15.96,0,1.46,3.81,0,0,0,0,0,9.49,0,6.61,0.75,0.57,3.42
 96-106,0,0,0,23.87,0,4.43,1.28,3.41,5.37,26.25,1.09,0,0,0.91,0,0.6,0,0.59,161.69,1.27,0,4.59,23.99,0,1.94,0.98,0,0,0,0,0,8.84,0,8.23,0,0.69,0
108-118,0,0,0,23.19,1.44,6.14,3.84,4.48,4.03,48.86,0,0,1.81,0,0,3.12,0,8.18,205.05,1.06,2.46,6.24,29.6,0,0,4.02,0,1.48,0,0,0,11.02,0,0,0.66,0.55,0
120,0,0,0,42.09,0,1.73,0,0,9.44,0,0,0,1.85,0,0,0,0,3.13,268.61,0,0,10.37,35.21,2.48,11.95,0,0,0,0,0,0,1.22,0,1.34,12.14,0,0
