stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,16.4,407.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0
  5-6,89.49,554.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,0,0,0,0,36.65,0,0,0,0,0,0,0,0
  7-9,32.79,14.34,20,0,0,56.31,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,661.25,8.84,0,0,240.77,4.29,12.67,0,0,0,0,0,0,0
 10-12,0,28.55,14.36,0,0,26.36,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,571.71,6.19,0,0,213.45,0,0,0,19.04,0,0,0,0,0
 14-21,0,0,2.81,23.03,9.17,23.48,0,1.17,0,7.63,0,0,1.07,0,0.92,0,0,0,11.17,0,0,7.42,371.11,8.74,3.05,0,6.86,7.32,0.9,43.26,0.9,23.85,92.74,0,1.14,0
 24-34,0,0,2.48,15.74,6.32,234.97,0,0,0,16.7,0.59,0,0,0,0,1.27,0,1.28,92.38,0,0,17.85,1365.12,1.41,8.49,5.21,0,8.74,0,0,2.65,1.9,268.14,0,11.25,0
 36-46,0,0,0,4.05,6.83,558.47,0,0,0,29.59,0,0,10.92,0,0,0.65,0,0,71.31,0,0.56,17.56,1112.95,0.64,7.09,3.5,0,8.08,0,0,0,0,170.31,0,1.22,0
 48-58,0,0,0,7.45,7.11,553.06,0,0,0,23.67,0.91,0,0,0,0.86,0,1.54,0,90.19,0,6.92,10.77,491.7,0.41,0.52,1.52,0,11.92,0,0,0,0,41.9,0,3.39,1.82
 60-70,0,0,0,3.82,0,462.64,0,1.19,0,19.44,1.54,0,0,2.09,0,0,2.27,2.11,78.45,0,7.21,3.98,265.77,0.93,0,1.72,0,0.57,0,0,0,0,9.88,0,0,4.91
 72-82,0,0,0,1.8,0.59,97.05,0,0,6.1,13.78,0.63,0,0,0,0,0,1.02,0,35.35,0.58,0.55,4.3,92.09,0,1.96,2.38,0,0,0,0,0,0,0,0,2.09,0
 84-94,0,0,0,17.29,11.41,69.3,0,0,2.14,9.04,3.84,0,0,3.88,0.68,0,0,11.17,35.21,0,4.52,8.31,87.1,0,0,0,0,2.4,0,0,0,0,3.2,0.83,0.95,0
 96-106,0,0,0,2.42,0,35.89,0,0,0,9.33,1.69,0,0.62,1.18,1.04,0.95,0,0,15.65,0,0,2.08,33.52,0,1.55,0.63,0,3.02,0,0,0,0,0,0.67,3.43,0
108-118,0,0,0,4.07,1.03,78.08,2.21,0,0,14.6,0.62,0,0,1.84,1.07,0,1.42,0.9,22.23,0,1.11,3.02,74.5,0,0,7.4,0,0.52,0,0,0.53,0,0.44,0,6,0
120,0,0,0,14.3,4.95,129.29,0,0,0,22.14,1.32,0,0,12.51,0,0,2.07,3.99,18.48,0,2.35,4.88,245.67,0,0,0,0,0,0,0,0,0,2.03,0,2.92,0
