stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,48.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.63,4.71,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,16.82,0,0,0,0
 10-12,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53,4.28,0,0,0,0,0,0,0
 14-21,0,0,0,11.77,2.69,0,0,0,0,0.82,0,0,0,0,0,0,6.75,3.68,6.95,0,0,0,0.98,5.1,3.15,0,0
 24-34,0,0,0,2,1.2,6.77,0,0,0.79,0,0,5.25,0,0,0,0.95,3.9,0.92,97.74,0,8.28,0,0,6.76,46.38,0,4.46
 36-46,0,0,0,0,0,4.09,0,0,9.14,0,0,9.52,0,0,0,0,2.71,0.9,301.19,0,27.28,0,0,0.62,53.42,0,5.76
 48-58,0,0,0,1.85,0,17.15,0,0.51,6.13,0,0,12.28,0,0,0,0,1.96,6.48,638.29,0,3.64,0,0,5.98,79.68,0,10.64
 60-70,0,0,0,0,1.34,76.93,0,1.48,1.08,0,0,15.02,0,0,0,9.89,2.41,0,994.75,0,0.58,0,0,3.74,97.61,0,4.74
 72-82,0,0,0,6.8,0,90.29,0,0,10.98,0,0,6.2,0,0,0,0,3.04,0,1106.87,0,5.48,2.17,0,0,102.77,0.53,3.37
 84-94,0,0,0,2.25,0.76,99.44,0,1.93,8.27,0,0,21.53,0,0.69,2.93,0,11.6,0.56,806.44,0,8.51,1.84,0,0,100.21,0,27.57
 96-106,0,0,0,2.82,1.39,139.13,0,0,14.8,1.49,0,24.29,0.75,0,0,0,7.19,6.34,833.14,0.62,11.75,0,0,3.35,37.39,0,3.91
108-118,0,0,0,3.21,1.48,139.21,0,0.73,7.15,0,2.64,31.74,0,0,5.66,1.68,8.58,4.1,904.99,0,1.97,0,0,0.47,38.02,0.55,19.99
120,0,0,0,11.7,3.43,255.01,2.94,1.58,22.03,0,4.47,39.61,0,0,0,0,16.75,0,1627.85,0,12.08,4.02,0,0,88.25,0,23.62
