stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,5.26,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.22,0,0,0,3.95,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,71.4,13.31,0,0,13.08,0,0,0,7.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.79,3.39,0,7.54,0,1.69,0,0,0,6.73,1.69,0,55.09,0,0,77.96,0,5.55,2.24,0,5.03,18.97,11.18,0,0,0.95,0,2.41,1.81,1.22,0.84,3.09,11.93,0,0,11.1,0,0
 24-34,0,0,0,13.3,0,0,9.63,0,4.41,0.62,0.94,0,5.09,1.01,16.57,171.71,0,6.26,54.81,4.26,21.91,17.08,0,18.23,49.58,2.97,1.66,6.37,0,0.99,16.1,0,2.63,0,0,8.87,0,0,30.15,0,8.07
 36-46,0,0,0,15.64,0,0,10.25,0,4.74,2.77,9.82,0,1.41,0,73.04,82.39,1.57,9.18,11.17,13.73,23.09,9.64,0,2.69,111.48,7.48,8.99,13.02,0,0,10.85,0,0,0,0,6.53,0,1.04,17.89,0,16.43
 48-58,0,0,0.43,14.54,0.84,0,49.83,0,2.58,9.77,62.17,0,21.96,0.89,35.18,22.47,1.69,19.47,6.91,16.07,63.98,11.09,0.4,7.6,118.57,1.64,6.47,20.82,0,0,39.9,0,0.43,0,0,11.9,0,0.84,23.68,0,30.86
 60-70,0,1.17,0,20.33,5.44,0,177.75,0.83,14.86,5.49,129.73,16.4,12.54,0.59,95.62,27.6,13.34,24.3,5.35,7.15,167.63,33.78,0.89,10.17,187.32,1.33,12.75,35.94,0,3.3,183.79,0,3.9,0,0,12,0.61,5.66,44.91,3.01,14.78
 72-82,0,4.99,0,66.95,33.65,1.65,344.77,2.83,20.66,7.73,201.99,56.34,2.77,3.63,70.94,75.8,15.23,55.39,23.04,19.91,382.08,51.64,5.52,21.89,285.03,2.28,35.16,76.39,0,3.88,1154.87,1.65,14.38,0,0,22.38,12.7,7.81,82.91,7.52,31.09
 84-94,0,6.17,0,138.83,90.38,0,266.33,1.27,24.71,15.64,225.89,128.51,7.73,5.65,111.55,160.25,27.78,94.46,17.81,17.53,327.64,70.41,10.33,27.53,227.49,3.31,22.89,68.13,0,3.36,2501.59,0,28.41,1.35,0,15.82,37.2,13.38,106.71,10.47,28.3
 96-106,0,4.11,0,227.76,79.25,3.66,354.62,0,44.4,11.59,199.25,161.46,2.38,10.01,127.23,220.41,19.15,140.69,82.47,16.31,426.57,107.21,19.35,25.27,328.88,8.05,61.12,68.94,0,16.5,4346.76,0,41.34,6.82,0,13.5,54.04,11.5,161.95,15.56,7.96
108-118,0,5.85,1.06,221.25,57.4,11.1,366.17,0.92,45.3,6.71,248.26,175.24,0,0,88.47,165.1,37.6,73.92,124.98,23.11,490.86,63.49,14.04,22.9,279.01,6.17,38.8,68.44,0,10.04,1661.17,0,39.98,0.41,0,9.89,45.68,7.51,92.1,18.35,50.02
120,0,12.36,0,214.63,69.64,0,208.2,2.62,35.46,13.42,122.48,86.88,5.2,0,167.7,108.47,31.65,35.9,74.58,7.72,458.6,76.2,22.09,31.88,235.91,19,54.6,30.23,0,9.43,1077.17,0,25.36,0,0,13.42,22.96,2.93,132.86,1.45,6.47
