stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,25.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.33,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0.88,56.54,0,0.89,1.76,0,0,0,0,1.16,0,0.84,1.08,32.7,0,0,0,0
 24-34,0,0,0.82,0,75.3,0,0,0,3.54,0,0,0,0,0,1.36,4.57,0,0,3.59,606.67,0,6.69,14.72,1,0,0,0,0,0,0,0,132.52,0,0,2.85,0.86
 36-46,0,0,0.66,0,128.1,0,0,0.96,22.64,0,0,0,0,0,1.92,6.98,0,0.95,1.15,1108.21,0,0,12.64,0,0,0,0,0,0,0,0,122.7,0,0,1.6,2.2
 48-58,0,0,5.89,0,265.41,0,0,0.43,41.46,0,0,0,0,0,1.05,10.83,0,1.66,1.04,1631.62,0.4,0,1.62,0,0,2.63,0,0,0,0.4,0,147.3,0,0,0.45,2.35
 60-70,0,0,4.18,0,191.44,0,0.87,0,19.76,1.93,0,0,0,0.61,2.2,11.2,0,0,2.77,1378.2,0,1.03,0,0,0.66,7.59,0,0,0,0,0,118.97,0,0,6.22,0
 72-82,0,0,1.56,1.11,193.68,1.29,0,1.32,14.93,0,0.52,0,0.49,1.56,2.51,8.26,0.55,0,0,1083.31,1.26,1.19,0.51,0,0,0,0,0,0,0,0,113.65,0,1.34,14.51,0
 84-94,0,0,7.17,6.09,139.58,1.13,0,0,10.69,0,0,0.7,0,0,3.16,14.41,0,0,0,602.03,0,0,3.5,0,0,0,0,0,0.81,0,0,47.16,0.71,0,0,0
 96-106,0,0,8.2,4.87,98.01,0,0,0,23.39,0.67,0,0,0.61,0,5.03,2.88,1.52,0,0.76,574.69,0,0.81,1.37,0,0,2.81,3.82,0,0,0.93,0,46.36,0.58,0,0,0
108-118,0,0.74,11.51,0,101.06,0,0,0.64,12.16,0.54,0,0,0,0.55,3.47,2.03,0,0,0,554.11,0,0,2.46,0,0,2.39,0,0,1.49,0,0,10.79,0.89,0,3.16,1.68
120,0,0,7.77,1.28,147.02,0,0,0,10.5,0,0,0,0,0,11.23,26.21,0,0,7.2,612.43,0,0,1.73,0,0,0,0,0,0,1.99,0,9.21,1.19,1.32,5.84,0
