stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0
  5-6,161.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95,0,0,0,17.83,0,0,0,0,0,0
  7-9,0,11.78,0,0,0,0,0,0,0,14.84,0,0,0,0,0,232.78,0,0,156.57,0,0,0,0,0,0,0
 10-12,0,7.26,0,0,0,25.75,0,0,0,0,0,0,0,0,3.87,308.55,0,0,132.07,4.33,0,44.9,0,0,0,0
 14-21,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,7.46,7.2,0,0,0.81,2.68,2.13,0,0,0.88,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.92,12.2,0,0,0,15.65,0,0,0.71,0,0,3.88
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54,0,0,0,2.48,0,0,0,2.06,0,0
 48-58,0,0,0,0,0,2.39,0,0.41,0,0,0,0,0,0.9,4.47,29.66,0,0,0,0,0,0,0,4.82,0,0
 60-70,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,0,0,0,0,0,2.31,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.73,0,0,0.61,0,0,0,0,4.68,0,28.53,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.66,0,0,6.61,0,1.74,0,0,0,0,0,0,0,6.12,0,0.88,0,3.54,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.71,0,0,0,0,0.66,0,0,0,0,15.05,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.46,0.58,0,0,8.11,0,0,0,1.22,3.04,1.27,17.13,0,0,0,0,0,0,0,0,0.49,0
120,0,0,1.32,5.14,0,7.49,17.24,0,0,0,0,1.1,0,2.57,0,43.59,3.33,0,0,0,0,0,0,0,0,0
