stage,epidermis,eye,immune,mesenchyme,mural_cell,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,17.71,0,0,0,0,0,0,0,0
 24-34,0,0,38.84,0,0,0,0,0,2.47,0,24.28
 36-46,0,0,49.84,0,0,2.39,0,0,0.78,0,11.78
 48-58,0,0,84.99,0.66,0,1.84,0,0,0,0,4.39
 60-70,0,0.66,79.68,0.8,0,1.1,0,1.28,0,0,8.63
 72-82,0,2.71,91.31,1.24,0,2.75,0,0,0.67,0,10.84
 84-94,0,0,155.01,0.6,0,4.09,0,0,0,1.95,10.08
 96-106,1.37,0,147.52,0,0.8,5.32,0,0,0,0,20.65
108-118,0,4.44,117.83,1.92,0,0,0,0,0,0,10.43
120,0,0,188.46,0,0,0,2.47,0,0,0,13.35
