stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,44.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.72,21.35,0,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.79,0,16.39,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.95,24.76,0,0,135.78,0,0,0,0,4.48,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,1658.49,0.98,0,19.08,0,0,0,48.24,0.92,13.63,0,0,2.3,0,0,0,0,5.18,12.19,0,21.52,831.65,885.35,0,0,9.74,0,1.83,0,81.77,35.7,69.87,248.57,1100.56,0,0,0,0,0
 24-34,0,0,0.6,1815.02,0,0,117.74,0,40.84,0,42.12,0,0,0.67,1.26,1.66,0,0,0.61,6.81,23.28,28.83,0,35.55,651.83,186.71,2.94,4.02,0,0,13.08,0,0,95.98,5.13,57.08,462.1,0,0,1.93,0,0
 36-46,0,0,0,1048.21,0,0,342.17,0,58.16,2.26,8.85,0,0,4.69,0,0,0,0,0,0,19.02,5.6,2.04,7.29,226.29,50.37,1.4,0,0,0,9.86,0,0,141.43,1.14,0,337.32,0,0,2.32,0,0
 48-58,0,0,0,500.46,0,0,448.5,0.39,52.07,2.26,16.61,1.55,0,1.84,1.69,0,0,0,0.48,0,30.48,2.55,6.85,7.02,177.9,34.59,0,2.2,0,0,4.53,0,0,33.73,0,0,82.37,0,0,0.64,0,3.42
 60-70,0,0.65,0,275.47,0,0,417.64,0,27.23,0.84,44.01,3.02,0,3.04,4.72,0.61,0,0,0,0,82.43,0,16.08,19.58,119.31,3.19,0,7.42,0,0,5.7,0,0,51.96,1.33,0,33.38,1.42,0,2.36,2.67,0
 72-82,0,3.04,0,87.93,0,0,331.83,0,10.85,0,37.27,9.95,0,9.65,18.85,9.78,0,0.49,2.73,0,240.57,2.28,26.48,22.34,71.87,1.61,1.08,8.65,0,0,7.05,0,0,47.97,10.73,0,11.9,3.24,1.92,14.99,22,0
 84-94,0,2.02,3.63,173.74,1.28,0,542.05,0,20.69,0,50.25,23.82,0,11.35,1.86,13.62,0,0,1.28,33.39,158.55,0.62,20.16,8.33,130.93,1.96,1.47,14.92,0,0,8.21,1.4,0,74.86,0,0,9.32,4.14,22.98,10.75,23.86,0
 96-106,0,10.09,3.67,210.13,0,0.87,626.72,0,24.04,0,111.35,52.92,0,32.06,19.44,14.14,0,6.44,12.27,77.5,225.1,0.56,52.3,27.15,115.07,2.25,6.88,24.93,0,0,0,0,0,77.47,0,0,13.86,12.3,6.99,56.22,37.85,0
108-118,0,8.36,8.37,191.15,0,3.01,618.73,0.89,45.17,0.65,108.61,88.52,0,11.81,10.24,19.6,0.43,0.63,4.63,4.61,318.16,2.38,45.41,22.86,120,1.15,4.86,40.53,0,3.47,0.44,0,0,86.48,0,0,16.76,17.82,13.36,53.75,36.03,11.61
120,0,2.94,10.41,236.47,6.26,0,558.61,0,38.94,0,59.46,162.5,0,18.69,2.23,4.49,0,2.19,3.79,0,347.75,5.49,23.91,8.39,156.47,2.24,0,35.37,0,61.96,0,0,0,64.92,0,0,45.61,6.9,26.41,24.68,118.08,0
