stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,31.45,347.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.12,229.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,3.62,4.65,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,114.36,0,0,0,37.42,3.37,0,0,0,0,0,0,0,0
 10-12,0,5.48,15.25,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,60.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,1.14,1.11,0,3.09,5.84,0,0,1.06,0
 24-34,0,0,0,8.14,0,2.39,0,0,1.08,0,0,0,0,0,0,0,0,0.81,12.27,0,0,0,0,3.54,0,0,0,1.68,0,0,0.66,0
 36-46,0,0,0,5.53,0,0,0,0,0,0.62,0,0,0,0,3.19,0,0,0,19.34,0,0,1.46,0,6.92,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.54,1.34,0,0,0,0.58,0,2.87,0,0,0.37,4.24,2.65,0.89,1.13,0,3.76,0,0,0,0,0,0,4.36,0
 60-70,0,0,0,1.58,0,0,7.71,0,0,1.75,0,0,0,0,0,0.62,0,0,0,0.68,0,0.57,0,1.45,0,0,0,1.05,0,0,0,0
 72-82,0,0,0,0.49,4.93,4.62,0,0,4.36,3.1,0,0.83,0.55,0,1.84,1.2,0,1.24,12.68,0,0,0.55,0,0,0,0,0,2.07,0,1.96,0,0
 84-94,0,0,0,1.8,0,5.36,0,3.27,7.87,0,0,0,0,0,10.39,0,0,0,10.87,0,0,2.03,0,2.56,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,9.33,0,0,3.06,2.78,0,0.92,0,1.13,12.9,1.61,2.17,1.04,10.58,0,0,4.39,0,4.42,0,0,0,0,0.83,0,0,0.76
108-118,0,0,0,4.84,2.36,2.51,0.45,0,1.11,1.6,2.38,0,0,0,8.56,3.97,0,0,13.35,0,0.81,1.54,0,4.78,0,0.48,0,0,0.6,0,0,0
120,0,0,0,11.13,0,5.87,3.1,0,0,1.26,0,1.25,0,0,12.01,0,0,0,0,2.28,0,1.12,0,1.01,0,0,0,0,0,0,4.84,0
