stage,eye,mesenchyme,muscle,neural,vascular_smooth_muscle
 14-21,0,1.88,0,0,0
 24-34,0,4.65,2.5,0,0
 36-46,0,5.67,0.57,0,0
 48-58,0,26.39,0.82,0,0
 60-70,1.75,29.01,0,0,0
 72-82,0,15.36,0.9,1.11,0
 84-94,0,35.3,3.38,0,2.05
 96-106,0.76,15.66,0,0,0
108-118,0,22.65,0,1.25,1.17
120,0,14.49,0,0,0
