stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.21,5.98,28.65,645.77,55.13,0,57.47,0,15.29,0,9.73,9.86,3.27,10.65,0,4.25,0,0,1.19,0,168.82,0.82,0,146.89,812.48,87.71,0,10.76,248.47,0,113.87,1575.88,28.48,5.15,608.46,401.35,0,0,0.85,0,0
 24-34,0.83,3.52,11.82,148.54,0.87,0,179.8,1.47,55.65,2.93,6.31,1.39,0,36.36,0,4.37,1.35,1.28,17.06,0,456.9,1.32,0.82,91.4,979.83,38.44,1.54,31.15,0,0,160.34,2.37,24.53,5.05,112.64,379.93,0,0,14.23,0,0.93
 36-46,0,0,0,77.16,1.02,0,301.35,9.06,52.98,11.67,40.41,1.46,0,38.35,0,1.15,0,3.69,0,1.66,456.17,3.34,3.41,74.6,1180.84,23.16,6.16,22.21,0,0,142.41,0,25.39,8.94,0,380.06,0,0,25.45,0,2.27
 48-58,0,0,1.14,54.3,0,0,523.24,4.53,37.14,14.57,102.35,0.88,0.92,13.86,0.96,4.32,0.97,1.18,13.92,0.39,557.7,3.33,4.43,79.06,1606.79,8.75,0.91,27.63,0,0,140.85,0,18.12,2.49,0,383.8,0,0.42,26.89,0.72,0
 60-70,0,0,0,63.92,0,0,863.6,8.5,29.5,29.13,104.7,5.8,0,16.19,0,1.19,0,0,1.41,0,647.1,0.67,6.64,52.86,1525.1,1.43,0,37.52,0,1.65,146,0,11.38,0,0,200.24,0.91,0,13.75,1.25,5.91
 72-82,0,0.76,0,48.7,2.96,1.04,732.29,2.58,30.85,35.79,127.47,18.16,0,8.26,0.67,0.68,0,5.67,5.43,0,696.83,9.93,28.26,39.96,1223.11,2.7,3.07,53.76,0,4.58,72.69,0,12.19,0,0,132.19,1.03,2.49,19.06,13.15,3.97
 84-94,0,3.12,0,59.01,0.65,9.04,592.07,12.04,34.09,12.12,102.11,19.7,1.23,10.68,0.6,8.31,1.25,3.74,6.88,0,597.89,9.2,39.23,33.76,826.75,12.04,1.69,45.04,0,0,145.98,0,10.69,0,0,80.74,12.48,11.55,10.77,15.93,0
 96-106,0,2.86,0,81.86,12.87,5.42,397.82,1.47,39.82,5.67,99.96,21.56,0,8.3,7.9,4.61,1.03,0.79,11.86,0,591.76,7.76,23.05,19.56,830.07,0,0.72,76.27,0,19.66,149.54,0,4.56,0.82,0,43.05,17.49,12.15,12.61,11.36,15.92
108-118,0,5.3,0,108.92,5.44,34.48,462.15,8.71,57.04,6.36,82.85,26.47,0,8.25,0,3.38,7.91,0.87,3.63,0,599.84,11.79,26.9,40.09,878.69,3.31,3.04,68.23,0,11.02,113.66,0,8.31,0,0,15.62,26.5,12.19,22.9,14.38,2.85
120,0,0,0,163.91,18.03,11.19,462.46,24.68,50.35,11.56,116.47,39.1,0,8.1,0,1.05,0,1.11,0,0,589.9,3.43,61.72,13.81,1085.48,2.55,19.94,94.75,10.96,22.07,83.91,0,17.4,0,0,40.88,10.27,6.83,49.42,16.16,8.45
