stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,81.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,13.54,107.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.43,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,43.29,5.98,0,18.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,3.95,0,8.74,0,0,10.11,0,0,0,0,0,0,0,0
 14-21,0,0,6.5,0,0.89,5.95,0,0,0,1,0,1.07,0.81,0,0,23.91,1.76,0,0,0,12.3,9.26,0,1.74,0,1.31,0,6.44,4.73,2.76,0,0,21.4,0,12.23
 24-34,0,0,0,0,3.82,2.14,0,0,0,0,0,3.56,11.55,18.59,0,32.42,2.78,0,0,5.52,21.48,0,0,0,1.65,0,2.28,1.95,0.7,3.62,0,0,116.84,0,30.34
 36-46,1.07,0,0,0,0.61,3.3,0,0,1.06,0,0,3.5,22.41,2.34,0,17.96,0.67,0,0,0,12.28,0,0,0,0,0,0,0,0,1.62,0,0,75.73,0,24.4
 48-58,0,0,0,0,0.67,1.97,1.13,0,0,4.49,0,8.51,15.79,0.85,0,25.51,9.37,0,0,0,26.65,0,0,0,0,0,0,0,0,0,0,0,79.39,0,7.41
 60-70,0,0,0,0,0,2.01,0,0,0,5.65,0,4.01,19.78,2.8,1.06,9.03,28.27,0,0,0,22.67,0,0,0,0,0,4.15,0,0,0,0,0.63,79.71,0,7.06
 72-82,0,0,0,0,4.65,3.96,0,0,2.16,1.32,0,5.09,21.4,0.54,0.62,2.73,49.71,1.23,1.1,0,9.79,0,0,0,0.49,0,0,0,0,0,1.58,4.44,126.19,0,0
 84-94,0,0,0,0,0,1.05,0,0.69,5.06,4.17,0,4.72,41.97,0,5.07,9.72,52.48,0,0.78,0,24.86,0,0,0,4.93,0,0,0,0,0,0,1.05,135.36,0.63,0
 96-106,0,0,0,0,0,7.49,0,0,7.26,5.2,0,6.23,44.78,1.14,0.84,15.26,40.31,0,0,0.66,15.13,0,0.71,0,13.86,0,0,0,0,0,0,4.34,134.82,0.74,0
108-118,0,0,0,1.46,0.8,2.8,0,0.94,2.12,6,0,5.13,26.94,0.44,6.7,15.62,57.08,0.7,0,2.46,24.78,0,0,0,12.43,0,0,0,0,0,0,0,111.07,0,0.48
120,0,0,0,0,0,0,0,0,3.76,13.6,5.2,1.91,86.06,0,18.01,4.02,19.88,0,0,2.44,9.13,0,0,0,0,0,0,0,0,0,0,0,121.7,0,0
