stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,12.64,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0,0,0,0,1.23,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.99,1.27,6.16,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.72,0,0,14.62,0,0,0,0,0,0.87,7.97,0,0,0,0,0,0,0.63,0,2.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.98,0,0,90.9,0,0,0,0,0,0,32.88,0,0,0,0,0,0,0,0,4.18,0,0,3.42,0,0
 48-58,0,0,0,0,0,0,32.4,0,0,88.64,0,0,0,0,3.1,0,20.92,0,0.63,0,0,0.52,0,0,0,24.86,0,0,0,0,0
 60-70,0,0,0,0,0,0,213.38,0,0,221.69,0,0,0,0,2.49,2.17,21.31,0,0,0,0,5.62,0,0,0,36.12,0,0,3.23,0,0
 72-82,0,0,0,2.03,5.75,0,332.82,0,0.5,210.61,0,4.42,0.72,10.32,8.37,1.57,64.81,0,0,1.61,0,0,0,0,0,57.79,0,1.75,0,0.96,4.13
 84-94,0,1.26,0,0,3.69,0,394.22,1.17,0,167.66,0,0,0,0,7.2,0,36.28,0,0,1.19,0,1.14,1.4,0,0,33.27,0,0,5.47,0,0
 96-106,0,0,0,2.22,0.8,0,415.51,0,0,179.89,1.09,0,0,1.26,8.84,0,29.63,0,0,0.96,0,2.57,0,0,0,19.61,0.79,0,2.9,0,0
108-118,0,0,0.74,3.89,2.44,0.53,474.54,0,0,198.45,1.44,0,0,0,10.32,0.55,24.36,0,0,4.92,0,2.3,0,1.1,0,18.03,0,0,0,0,0
120,0,0,0,0,1.18,1.61,585.25,0,1.12,189.79,0,2.35,0,0,2.4,2.81,63.35,4,0,2.45,0,0,0,1.08,0,17.46,0,0,0,0,0
