stage,epidermis,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,4.04,0,14.99,0
 14-21,1.52,0,0,0,1.12,0,0,5.23,0,3.34
 24-34,0,0,0,0,4.16,0.66,0,0,0,3.59
 48-58,0,0.73,0.63,0,0,0,0,0,0,0
 72-82,0,0,0.54,0.55,0,0,0,0,0,0
 84-94,0,0,1.58,0,0,0,0,0,0,0
