stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,30.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0
 14-21,0,4.58,0,0,0,0,2.83,0,2.78,17.28,0.88,0,1.02,0,4.1,1.33,1.96,15.93,0.82
 24-34,0,0,1.28,3.01,0,0,2.61,0,2.25,17.08,0,1.48,0,0,0,0,0,7.86,0
 36-46,0,0,3.61,0,12.57,0,0.63,0,0.77,9.05,0,0,0,0,0,0,0,0.97,0
 48-58,0,0,3.76,0,3.89,0,0.83,0,0,3.65,0,0,0,0,0,0,0,0,0
 60-70,0,4.97,1.55,0,0.86,0.59,2.76,0,0,16.81,0,0,0,0,0,0,0,2.79,0
 72-82,0,0.87,3.64,0,1.38,0,0,0,0,1.15,0,0,0,0.97,0,0,0,1.03,0
 84-94,0,2.38,0,0,0,0,0,0.61,0.82,0.67,0,0,0,0.75,0,0,0,1.28,0
 96-106,0,0,0.9,0,5,0,0,0,0,2.83,0,0,0,0.92,0,0,0,1.32,0
108-118,0,0,0.52,0,1.59,0,3.08,0,0,3.59,0,0,0,0,0,0,0,0,0
120,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0
