stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,vasculature,visceral.smooth.muscle
  3-4,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.72,10.23,0,0,0,0
 24-34,0,0,0,1.13,0,0,0,0.77,0,0,0.84,1.9,0,8.67,0,0,0
 36-46,0,0,0,0,0,1.03,0,0,1.37,0,0,0,0,48.21,0,0,0
 48-58,0,0,0,1.77,0,0,0,0,0.42,0.51,0,2.76,0,69.76,6.71,0.52,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.33,0,10.77,0,0,0
 72-82,0,0,1.11,0,0,0,0,3.35,0,0,0,1.75,0,29.8,0,0,0
 84-94,0,0,0,0,6.31,0,0,1.2,0,0,0,0,0,18.21,0,0,0
 96-106,0,1.45,0,0,5.79,3.55,0,0,1.49,0,0,1.19,0,54.23,0.6,0,0.72
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0
120,0,6.19,0,0,0,0,1.81,0,0,0,0,0,0,6.01,0,0,0
