stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.8,1159.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.95,0,0,0,0,0,0,0
  5-6,34.31,516.34,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,21.97,0,0,10.03,6.15,0,0,0,0,0,0,0
  7-9,18.63,0,17.01,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.15,14.43,0,50.17,0,0,0,0,0,0,0,0
 10-12,0,3.65,32.14,0,4.67,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.26,0,0,18.46,0,0,10.11,0,0,0,0,0
 14-21,0,0,0.81,2.43,0,0,1.06,0,0,0,0,1.01,0,0,0,0,0,0,0,0,3.18,0,0,4.45,0,0,0.84,0,1.06,0,0,4.77,0,0,0
 24-34,0,0,0,1.62,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0.62,4.39,0,2.32,0,2.14,0,0.7,0,1.75,0,0,0
 36-46,0,0,0,0,0,0,0,1.2,0.68,0.87,0,0,0,0,0.89,0,0,0,0,0.7,3.08,0.78,0,17.41,0,0,0,0.99,0,0,6.28,1.4,0,0,6.93
 48-58,0,0,0,3.92,0,0,4.2,0,0,0.97,1.04,0,0,0,0,0,0.51,0.4,0,0,3.85,0,0.95,10.13,0,0,0,1.24,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.92,0,0.64,0,0.91,0,0,0.69,0,0,0,0,0,0,5.5,0,0.68,4.01,0,0,0,4.46,0,0,0,1.22,1.4,0,0
 72-82,0,0,0,0,1.18,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.87,5.7,1.99,0,12.58,0,0,0,1.58,0,0,0,1.7,0,0,0
 84-94,0,0,0,2.9,0,0,2.48,0.64,0,0,0,0,0,0,0.9,0.6,0,0,0,4.51,9.18,0,0,0.85,0,1,0,18.53,0,0,0,0,1.3,0.89,0
 96-106,0,0,0,0.81,7.08,0,29.13,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0,4.88,0,0,0,0,0,0,0
108-118,0,0,0,1.75,0,0,9.68,0,0,0,1.39,1.77,0,0,0,1.55,0,0,1.35,0,20.01,0,0,0,0.69,0,0,2.29,0,0,0,0.58,0,0,0
120,1.12,0,0,1.47,0,1.91,5.16,0,0,0,1.61,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,5.21,0,1.13,0,0,0,0,0
