stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,21.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.01,0,15.13,0,13.66,0,0,0,0,0,133.95,0,21.55,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,43.77,0,12.91,0,0,4.12,0,0
 14-21,0,0,0.85,0.9,0,0,0,0,0.94,0,0,8.52,0,0,0,1.31,0,3.41,5.13
 24-34,0,0,0,7.18,0,0,0,0,0,0,0,26.65,0,0,0.64,0,0,0,10.2
 36-46,0,0,0,10.21,0,0,0,0,0,0,0.6,9.65,0,0,0,0,0,0,5.34
 48-58,0,0,0.4,7.72,0.68,0,0,0.39,1.76,0.41,0.5,14.67,0,0,0,0,0,0,3.93
 60-70,0,0,0,2.53,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0
 72-82,0,0,0.53,5.61,0.6,0,0,0,4.1,0,0.53,3.2,0,0,2.11,0,0,0,6.69
 84-94,0,0,0,0,0.78,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0
 96-106,0,0,0.83,0,0,0,0.83,0,0,0,0,0.94,0,0,0,0,0,0,0
108-118,0,0,0,0.93,0,0,0.56,0,0.66,0,0,3.06,0.48,0,0,0,0,0,0
120,0,0,1.89,6.44,3.05,0,0,0,2.68,0,0,7.85,0,0,0,0,0,0,0
