stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,5.42,0,7.44,0,0,0,0,0,0,0,0,0,0,0,26.66,0,0,0,14.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,4.39,0,0,6.56,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,1.87,0.9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,0,0,6.37,0,2,3.92,0,0,0.9,0,0,0,0,0,1.64,0,0.75,0,0
 36-46,0,0,0,1.09,1.58,0,0,1.45,0,0,0,0,0,7.02,0.72,1.36,14.38,0,0,0,0,0,0,0.91,0,3.85,0,5.14,0,0
 48-58,0,0,0,0.38,2.8,0,0,0,11.09,0,0,0.41,0.74,18.1,0,1.65,6.83,3.26,0,0,0,0,2.69,0,0,0.39,0,0,0,0
 60-70,0,0,0,0,1.88,1.17,0,0,9.4,12.16,0,0,0,6.07,0,0,10.71,0,0,0,0,0,0,0,0,2.09,1.27,0,0,0
 72-82,0,0,0,0,0,0,0.74,0,1.44,1.34,0,0,0,30.28,1.75,2.03,8.93,0,1.71,0.9,0,0,0.5,0,0,3.55,0.5,1.75,1.22,0.67
 84-94,0,0,0,1.22,3.44,0,0,0,0.57,6.93,1.46,0,0,12.7,1.45,1.43,6.18,0,0,0,0,0,9.87,0,0,0,1.95,1.4,0,1.06
 96-106,0,0,0,0.78,1.73,0,0,0,4.82,5.11,3.91,0,0,12.61,0,1.42,18.94,0,0,0,0,1.32,12.4,0,0,0,2.03,0.71,0,0
108-118,0,0,0,1.18,9.45,0,0.43,0,1.46,4.7,0,0,0,13.91,0,1.61,21.58,0,0,0,0,1.33,10.04,0,0,0.58,0,6.49,0,2.16
120,0,0,0,0,0,0,2.25,0,0,17,5.05,0,0,15.45,0,2.96,24.4,0,0,0,0,4.76,9.9,0,0,0,0,4.54,9,0
