stage,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,5.92,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.58,0,0
 24-34,0,0,0,0,0,0,0,0,0.68,0,0,0,0,1.24,0,0,0,27.87,0,0
 36-46,4.61,1.02,0,0,0,0,0,0,0,2.73,1.5,0,0,16.26,0,0,0,21.83,0,2.83
 48-58,0,6.15,0,0.43,0,0,0,0,0,0.44,0.74,0.44,1.52,19.36,0,0,0,32.31,0,0
 60-70,0,7.44,6.67,0,0,0.84,0,0,0,1.09,0,0,0,48.31,3.41,0,0,19.31,0,4.7
 72-82,0,0.61,0,0,0,0,0,0,0,0.59,0,0,0,15.64,0,0,0,17.38,0,6.92
 84-94,1.95,5.47,0,0,0,0,1.57,0,0,0,0,0,0,27.13,0,1.05,0,57.89,0.57,0
 96-106,0.9,5.08,0,0,0,0,0,0,0,0,3.74,0,0,7.49,0,0,0,50.71,0,0
108-118,0,2.08,1.36,0,1.1,0,0,1.99,0.5,1.96,4.51,4.93,0,11.84,0,0,0,50.18,0,0
120,11.3,13.99,0,0,6.94,0,0,0,0,0,0,0,0,49.03,0,0,0,33.39,0,0
