stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,5.25,0,0,0,0,0
 10-12,0,0,0,0,0,6.31,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 36-46,0,0.65,0,2.36,0,0.82,0,0,0,0,0,0,0
 48-58,0,0,0,0.91,0,0.49,0,0,0,0,0,0,0
 60-70,0,0,0,2.68,0,2.52,0,0,0,2.62,0,0,0
 72-82,0,10.68,0,19.5,0,4.57,0,0,0,1.6,1.11,0,0.91
 84-94,0,0,0,38.8,0,3.18,0,0,0,0,1.81,0,0
 96-106,0,5.42,2.54,35.28,0,5.81,1.53,0,0,0,4.63,1.6,0
108-118,2.76,9.52,14.51,79.28,0.43,8.23,0,0,0,1.17,5.94,0,0
120,0,0,8.71,24.86,0,0,0,0,16.5,0,17.73,0,0
