stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.47,1856.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.21,0,0,0,0,0,0,0,0,0
  5-6,46.38,831.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.51,0,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.56,0,0,0,30.81,0,10.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.78,0,11.74,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.34,0,0,0,15.33,0,0,17.1,0,0,0,0,0,0,0
 14-21,0,0,1.13,11.81,47.61,22.08,0,1.86,0.88,0,0,0,0,0,0,2.54,0.92,4.75,0,6.07,0,0,0.88,13.95,4.52,1.23,9.03,0,10.25,0,7.77,0,12.87,0,0,0,0,0
 24-34,0,0,0,1.8,15.21,1.87,0,0,0,0,0,3.14,10.95,0,1.63,4.54,3.06,2.99,0,1.38,0,0,0.61,35.18,4.44,35.96,26.75,0,16.22,0,2.62,0.62,46.91,0,0,0.87,0,0
 36-46,0,0,0,0,5.87,0,0,0.7,0,0,0,0.56,1.6,0,0,17.21,7.36,0,0,2.43,0.65,0,4.08,54.78,0.61,28.41,8.79,0,18.07,0.81,0.94,0,65.68,0,0,0,0,0
 48-58,0,0,0,0,1.65,0,0,2.54,0,0,0,2.45,9.02,0,0,1.33,6.41,3.23,0,0.45,0.56,0.4,0.9,47.96,0.5,24.1,14.44,0,0,0,0.44,0,28.58,0,0,0.63,0,0.49
 60-70,0,0,0.82,0,5.68,1.78,0,10.62,6.97,0,0,8.17,3.82,0,0,2,6.71,2.11,0,1.57,1.46,0,1.73,28.99,0.7,7.03,10.33,0,8.91,0,0.76,0,13.07,2.6,0,2.67,0,0
 72-82,0,0,1.84,0,6.33,6.05,0,26.54,0.66,4.03,4.51,17.58,4.93,1.72,0,6.36,12.79,5.28,0,9.72,1.44,0,0.84,60.43,0.52,29.46,29.21,0,8.32,0,0,0,7.64,16.9,0,13.82,0,0
 84-94,0,0,2.09,0,17.28,4.25,0.71,31.51,2.03,0.89,1,36.57,8.63,0,0,9.59,22.61,6.04,1.25,2.66,6.66,0,0,52.34,1.8,29.97,45.73,0,23.11,0,4.17,0,21.17,30.91,0,7.67,0,0
 96-106,0,0,11.91,0,39.41,0,2.06,29.1,1.53,0,11.92,27.43,0,0,0,13.61,22.46,5.72,0,6.41,0.67,0,0.62,55.71,0.58,39.73,33.6,0,22.11,0,2.92,0,0,92.06,1.2,13.05,0.91,9.55
108-118,0,0,5.59,0.51,33.3,5.49,13.15,40.21,0,0,2.14,40.54,0,0,0,10.98,22.97,22.26,0,6.55,16.33,0,0,92.99,3.63,22.67,29.81,0,11.43,0,1.83,0,1.9,65.94,0,27.41,0,0
120,0,0,0,0,28.55,2.29,1.8,21.56,0,0,2.83,23.9,0,0,0,11.56,17.92,6.81,0,7.36,1.56,0,0,103.51,5.19,42.15,62.91,0,4.01,0,7.69,0,0,36.81,14.31,5.71,0,0
