stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,15.52,2.63,0,3.45,0,0,0,1.18,0,13.69,0,0,0,0,0,38.32,0,0,15.78,385.34,0,0,2.81,0.98,0,10.69,4.23,0,4.33,32.21,0,0,0,0
 24-34,0,16.34,0,0,9.59,1.8,0,0,3.16,0,16.69,0,0,0,5.81,0,177.93,0,1.39,30.73,1789.7,0,2.24,19.27,0,0.99,30.04,0.93,4.1,8.52,110.82,0,0,0,1.87
 36-46,0,22.38,0,0,8.58,1.48,0,0,93.82,0,8.61,0.58,0,0,1.13,1.55,178.43,0,2.45,30.9,2364.63,2.73,0.67,10.12,16.41,6.67,70.76,0,4.74,0.6,239.17,0,0.71,0,0
 48-58,0,12.48,0,0,29.76,0.96,0,3.64,202.34,0,1.02,0,0,0,0.42,0,124.54,1.11,6.29,24.3,1087.22,0,0.89,15.7,0,1.12,85.87,0,0.73,0,205.91,0.51,5.76,0,0.99
 60-70,0,29.96,0,0,23.98,0,4.01,0.81,170.61,2.01,0,0,1.9,0.61,1.57,0,166.89,2.49,17.12,36.27,235.98,0,0,19.27,0,0.63,164.22,0,2.29,0,113.84,2.41,8.5,0.98,0
 72-82,1.9,5.51,1.74,0,29.43,1.34,1.49,0,102.88,0,1.08,0.71,3.76,0,3.66,0,221.04,0,14.3,14.82,151.76,0,0,13.79,0,0.59,193.23,0,0,0,35.09,3.23,15.07,2.42,0
 84-94,0,32.18,5.06,1.17,30.71,0,7.17,0,86.85,0,0,0,3.77,0,5.91,0.57,171.85,4.64,19.56,21.9,153.42,0,0,21.06,0,0,588.24,0,2.5,0,38.53,0,7.17,7.29,0
 96-106,0,58.8,3.93,0,41.83,0.95,0,0,106.71,0,0.73,0.72,0.57,0,2.76,0,168.6,2.27,1.73,20.3,125.39,0,7.49,10.36,0,1.82,606.26,0,0.69,0,16.95,0,16.89,8.99,0
108-118,0,40.68,0.64,0,22.57,0,5.98,1.52,108,0.8,2.05,2.14,10.05,0.55,1.11,0.55,156.63,2.75,15.81,21.69,136.53,0,0.53,24.72,0,2.35,471.4,0,0,0,21.2,9.79,6.03,11.48,0
120,0,74.9,1.71,0,25.53,0,12.18,0,183.84,3.34,1.15,0,4.41,0,2.39,0,110.51,5.82,14.03,11.15,204.02,2.06,1.45,17.4,0,6.29,380.87,0,5.48,0,0,18.53,7.14,0,0
