stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.05,0,50.23,19.22,0,37.18,0,1.89,0,14.24,0.82,4.84,0,3.42,2.11,0,0,0,0,33.19,0,0,21.78,440.91,27.46,1.87,1.09,6.22,0,16.49,4.5,22.8,3.02,25.4,141.64,0,0,0,0
 24-34,0.8,1.86,16.35,10.7,0,112.19,1.65,0,0,15.02,0,0,0.8,2.84,1.37,2.25,4.7,0,0,100.15,1.03,0,36.74,1064.05,3.36,8.67,7.54,0,0,23.61,0,0,1.69,1.13,145.87,0,19.86,0,2.07
 36-46,0,0,29.87,0,0,256.25,0,0,0,19.3,0,0,0.65,19.21,0.79,6.1,0,1.4,0,78.21,0,0,11.78,715.57,2.49,0,1.36,0,0,38.61,0,0,0.56,0,130.13,0,12.34,0,3.4
 48-58,0,0,8.35,6.1,0,335.54,0,1.7,3.89,21.09,0,0,0,1.77,0,0,0,0.69,1.57,46.02,0,6,13.75,408.5,0.87,2.28,0.38,0,0,1.7,0,0,0,0,73.27,0,21.3,0,3.45
 60-70,0,0,17.67,1.65,0,220.36,0.58,3.59,0.72,34.39,0.65,0,0,0,0,0,1.12,0,0,87.43,0,2.81,15.26,311.07,0,0,3.35,0,1.22,2.68,0,0,1.17,0,48.88,0,7.43,0,1.98
 72-82,0,0,7.82,5.63,0,102.38,0,0,6.57,37.66,2.02,0,0,0,1.04,0,0,0,0,54.7,0,1.17,13.91,177.74,0,0.51,3.83,0,0,2.42,0,0,1.87,0,3.17,0,5.91,0.57,0
 84-94,0,0,5.33,0,0,123.08,0,0,0,17.77,0.66,0,0,2.72,0.56,0.64,0,0.97,0,41.84,0,4.72,7.15,109.54,0,2.7,3.95,0,0,0,0,0,0,0,8.73,0,4.33,0,0
 96-106,0,0,6.89,10.39,0.57,38.99,0,0,0,12.23,3.07,0,0,1.21,0,0,0,0.83,0,31.14,0,0,9.88,120.83,0,0,0,0,1.96,4.95,0,0,0,0,0,0.65,4.01,0.68,0
108-118,0,0,7.6,6.24,1.62,62.84,0.42,0,0,35.11,0,0,0,1.34,0,0,1.38,4.31,2.33,28.9,0,2.08,10.12,156.12,0,0.47,7.05,0,2.63,1.56,0,0,0.59,0,0.44,1,1,0,0
120,0,0,5.79,9.12,0,59.25,0,1.21,0,19.96,0,0,0,5.86,0,0,0,1.02,0,9.04,0,0,3.15,141,4.72,0,22.29,0,0,1.23,0,0,0,0,2.96,0,0,0,9.68
