stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.47,0,0,0,0,0,0,596.95,0,0,0,1.86,45.29,0,1.11,4.33,0,0,9.11,2.72,0.9,0.84,2.15,0,0,0
 24-34,0,0,8.06,0,1.35,7.54,0,0,0,5.07,0,2150.68,0,0,0,9.29,232.62,0,6.98,107.83,0,0,9.35,0,0,2.1,3.23,0,0.94,0
 36-46,0,0,1.78,0,14.47,0.69,0,0,0,2.51,0,565.18,0,0,0,8.97,44.33,0,4.79,42.95,5.91,0,18.93,0,0,0,1.48,0,0,0
 48-58,0,0,3.23,0,3.25,0,0,3.09,0,2.22,0,161.58,0,0,0,75.1,6.11,0,10.79,176.63,0,0,2.82,0,0,0,19.36,0,0,0
 60-70,0,0,17.92,0,2.01,1.14,0,3.36,0,3.44,0,140.05,0,0,0,280.44,5.84,0.99,10.84,663.23,0,0,0,0,0,0,1.89,0,0,0
 72-82,0,0,1.22,0.89,7.49,2.74,0,63.89,0,7.84,2.56,73.45,0,0,0,357.04,5.25,12.85,31.03,446.17,0.81,1.97,0,0,0,0,0,0.58,1.71,0
 84-94,0,0,18.66,0.84,32.57,1.91,2.15,40.79,0,13.29,0,197.55,0,3.32,0,270.93,3.72,18.82,13.53,114.58,0,0,7.84,0,0,0,0,0,0,3.97
 96-106,0,0,27.5,0.87,45.2,0,0.74,37.24,1.84,39.13,0.64,135.78,0,4.84,4.97,349.18,12.93,23.9,48.06,464.14,0.8,0,3.25,0,0,0,0,1.27,0.6,2.25
108-118,0,0.71,14.5,0.82,33.95,4.47,1.5,64.87,0.81,7.84,0,123.46,0,1.18,0.57,628.24,8.91,39.89,21.42,2091.29,2.17,0,0,0,0,0,0,0,0.43,8.02
120,0,0,22.34,0,9.62,0,0,61.35,0,31.68,3.72,45.79,13.77,0,0,993.95,0,0,81.4,7660.63,0,5.34,0,0,0,0,6.18,0,7.92,0
