stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.01,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,12.12,0,0,13.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,1.01,3.16,1.54,0,0,0,0,0.96,0,0,0,0,0,4.33,0,0,0,0,24.98,1.01,0,0,0.84,0,1.59,0,0.81,1.13,7.13,0,0,1.63,0
 24-34,0,0,0,0,0,0.67,0,0,0,1.67,0,0,0,0,0,1.08,0,0,2.16,0,1.88,52.37,2.7,0,1.16,0,4.36,0,0,1.16,0,13.09,0,0,0.78,0
 36-46,0,0,0,1.48,0,11.19,0,0,0,11.66,0,1.45,0,0,0,0,0,0,6.62,0.67,0.94,112.16,0.78,2.89,0.58,0,9.52,0,0,0,0,16.49,0,0,1.01,0
 48-58,0,0,0,0,0,10.93,0,6.61,0,11.02,0,0,0,0,0,0,0,0,3.71,0,1.04,107.99,0,0,1.75,0,12.02,0,0,0,0,9.49,0,0,0.74,0.83
 60-70,0,0,0,0.64,0,15.85,0,0,0.83,22.89,0,0,0,0,5.24,0,0,0,2.11,0,0.72,118.55,0,0,0,0,22.12,0,0,0.67,0,13.4,0,0,0,0
 72-82,0,0,0,0,12.83,32,0,0,0,5.47,0,0,0,0,0,0.64,0,0,6.27,1.75,0,85.99,0,1.6,0,0,9.02,0,0,0,0,18.13,0,0.49,0,4.1
 84-94,0,0,0,0,10.11,22.82,0,0,0,5.13,0.77,0,0,0,0,0,0,0,10.64,4.21,0,46.79,0,0,0,0,21.11,0,0,0,0,5.45,0,0,0,0
 96-106,0,0,0,3.43,16.98,12.02,0,0.69,0,7.4,0.74,0,1.72,0.56,1.05,2.23,0,0.71,26.53,0,0.62,66.46,0,0,0,0,41.52,0,0.6,0,0,0,4.08,0,0.68,0
108-118,0,0,0,2.91,3.51,13.1,1.5,2.57,0,9.69,0,3.91,0,0.67,4.56,1.5,0,0.76,15.4,0,0,49.09,0,0,0,0,23.01,0,0,0,0,0,0,0,1.37,0
120,0,0,0,0,0,48.74,0,4.46,0,1.16,1.04,0,2.95,0,0,0,0,0,20.78,0,0,121.19,0,0,0,0,43.54,0,0,0,0,0,2.83,0,10.91,0
