stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature
  3-4,0,159.84,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0
  5-6,7.8,76.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.17,4.28,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,4.13
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.66,0,4.51,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.25,0,0.64,0,3.24,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0
 72-82,0,0,0,0,1.24,0,0,0,0,0,2.9,0,0,0,0.55,0,0,13.19,0
 84-94,0,0,0,0.83,0,0.79,1.52,0,0,0,0,0,1.89,0,1.54,0,0,47.7,0
 96-106,0,0,0,2.28,0,0,0,0,0,0,8.33,0,2.77,0,2.25,0,1.73,48.5,0
108-118,0,0,0,0.43,0,0,0.56,0.52,0.49,7.17,1.71,0.48,0,0,3.08,0,0,57.54,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,23.64,0
