stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.35,1316.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,0
  5-6,163.68,3186.63,0,0,0,0,0,0,0,0,0,78.29,0,0,0,0,0,0,0,0,131.4,14.05,0,0,18.82,0,77.44,0,0,0,0,0,0,0
  7-9,56.39,106.38,65.18,0,5.98,143.31,0,0,0,0,0,61.72,0,0,0,0,0,0,0,0,1714.51,61.34,0,0,495.37,0,0,0,0,0,0,0,0,0
 10-12,0,41.26,27.12,0,0,69.84,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,437.44,14.88,0,0,169,0,0,0,29.1,0,0,0,0,0
 14-21,0,0,0,14.25,3.33,5.18,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.2,34.17,0.94,0,0,20.32,0,4.22,7.16,0.9,12.04,6.99,0,0,0
 24-34,0,0,0,9.47,0,5.48,0,0,0,0.82,2.9,0.67,0,0,0.85,0.68,0,7.03,0.81,5.6,55.84,2.26,0,0,0,0,20.28,0,0,2.61,4.11,0,0,0
 36-46,0,0,0,3.72,0.9,9.26,0,11.22,0,0,0,0,0,0,0,0,0,1.93,0,2.72,39.18,0,0,0,0,0,7.12,0,0,0,3.26,0.86,0,0
 48-58,0,0,0,1.94,0,51.27,0,3.97,0.57,2.81,0.64,0,0.44,0,0,0,0.65,7.09,0,3.43,45.17,0,2.2,0.39,0,0,9.82,0,1.57,0,8.09,4.89,0,2.12
 60-70,0,0,0,0,0,113.55,1,0,0,2.78,0,0,0,0,0,0.66,0,4.75,0,0,46.45,5.48,0,0,0,0,1.12,0,0,0,0.75,0,0,0
 72-82,0,0,0,2.06,0.49,64.68,0,0,0,2.51,0,0,0,0,0,0.65,0,4.52,0,1.1,42.98,0,0,0,0,0,1.2,0,0,0,3.47,0,0,0
 84-94,0,0,0,0.71,0,36.22,0,0,0,6.39,0.68,0,0,0,0,0,0,5.17,1.56,0,16.48,0,0,0,0,0,9.62,0,1.04,0,0,1.04,0,0
 96-106,0,0,0,2.57,0,79.66,0,0,0.76,7.41,0,0,0.86,0.9,0,0,0,10.96,0,0.57,51.63,0,0,0,0,4.67,16.85,0,0,0,0,0,0,0
108-118,0,0,0,0,0.54,29.15,0,0,0,2.29,0,0,0,1.72,0,0,0,2.66,0,0.7,19.12,0,0,0,0,0,7.35,0,0,0,0,0,0,0
120,0,0,0,7.15,4.4,61.99,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,80.99,0,0,0,0,0,6.05,0,2.39,0,2.1,4.93,4.27,0
