stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,14.11,205.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0
  5-6,10.07,619.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0
  7-9,0,8.06,12.55,0,20.2,0,0,0,0,0,0,0,0,466.39,12.39,78.62,0,0,0,0
 10-12,0,7.14,5.43,0,6.37,0,5.62,0,0,0,0,0,0,275.54,13.96,49.68,0,0,0,0
 14-21,0,0,0,2.75,3.24,1.32,0,0,0,0,1.77,0,1.85,17.71,1.29,1.56,0,4.54,0,0
 24-34,0,0,0,0,0,0,0,0.61,0,0.61,2.32,0,0.63,20.45,0,0,0,2.82,0,0
 36-46,0,0,0,0,10.57,0,0,0,0,0,1.21,0,1.34,106.58,0,0,0,11.17,0,0
 48-58,0,0,0,0,9.97,2.45,0,0,0,0,4.21,0.88,0,75.12,0,0,0,7.43,3.32,0.91
 60-70,0,0,0,0,19.41,0.73,0,0,0.63,0,1.17,0,0,55.49,0,0,0,2.46,0.58,0
 72-82,0,0,0,0,7.23,0.65,0,0,0,0,0,0,0,40.92,0,0,0,4.4,0,0
 84-94,0,0,0,0,8.42,0,0,0,0,0,4.86,0,1.26,28.45,0,0,0,0,0,0
 96-106,0,0,0,0.92,2.57,1.38,0,0,0,0,0.91,0,0,27.35,0,0,0,0,0,0
108-118,0,0,0,0,3.73,3.45,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,8.69,0,0
