stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,213.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.02,0,0,0,0,0
  5-6,87.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.1,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,42.62,0,0,0,0,0,0,0,31.98,0,0,10.42,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,154.09,0,0,0,0,0,0,0,69.75,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,152.14,0,0,0,0,6,0,0.96,7.69,3.83,0,0,1.97,0,0,17.04,3.03,5.77,0,0,0,0,0,0
 24-34,0,0,0,105.56,0,0,0.75,0,28.57,0,0,2.72,15.63,0,0,5.92,0,0,8.89,21.63,2.1,0,0,0,0,0,0
 36-46,0,0,0,5.87,0,0,0,0,1.64,0,0,0,12.5,0,1.1,7.61,0,0.71,0,7.11,11.95,0,0,1.43,0,0,0
 48-58,0,0,0,0.38,0,0,0,0,3.04,0,0,1.02,9.36,0,0.4,1.81,0,0,0.62,1.69,4.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.09,0.85,0,0,12.16,0,0,6.58,0,0,0,2.22,1.62,0,0,0,0,0,0
 72-82,0,0,0,4.51,0.64,0,0,0,0,8.05,0,0,7.29,0,1.08,3.25,0,0,3.45,4.03,0,0,0,0,4.95,0,0
 84-94,0,0.88,0,2.19,0,0,0,0.91,0,14.15,0,0,17.87,0,0.61,0,0,0,2.03,8.2,2.6,0,0,0,8.12,2.14,0
 96-106,0,0,0,0,0,0.66,0,0,0,41.9,0,0,29.83,0,0,0,0,0,2.84,10.92,0,0,0.56,0,18.34,0,0
108-118,0,0,0,0.71,0,0,0,0,0,53.81,0,0.6,29.02,2.63,10.59,1.08,1.62,0,1.85,4.63,0,3.7,0.72,0,4.92,0,1.69
120,0,0,0,3.1,0,0,0,0,0,35.42,0,0,12.08,0,3.21,0,0,0,0,2.89,0,0,0,0,2.97,0,0
