stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13,0,0,0,0,0,96.96,0,0,0,0,0,0,0,0
 14-21,0,2.55,1.21,1333.19,0,0,0,0,0,0,0,0,73.72,0,0,0,0,0,3.82,0,0,7.04,0,0,0,0,0,0,5.02,5.5,0,0,0,1281.61,0,0
 24-34,0,1.3,9.23,150.9,0,1.85,0,0,0,0,0,0,159.77,0,4.75,0,0.65,0,21.1,0,0.66,67.15,0,1.7,0,0,2.88,4.05,0,4.27,16.83,0,0,4218.27,0,0
 36-46,0,0,0,16.32,0,0.67,0,0,0,1.25,0,0,78.66,0,0,0,0,5.56,11.82,0,1.66,47.41,0.7,0,0,0,9.7,0,0,0,3.88,0,0,2050.75,0,0
 48-58,0,0,0,16.71,0,5.13,0,0.89,0.55,1.38,0,0,131.26,0,0,0,0,0,32.6,0,0.39,33.02,0,0,0.91,0,2.96,0,0,0,11.73,0,0,1276.22,0,11.35
 60-70,0,0,0.62,16.29,0,7.52,0,0,0,0.78,1.37,0,130.12,2.38,0,0,0,0,42.73,0,4.87,71.61,0,0.88,0,8.83,7.3,0,0,0,18.56,0,0,1218.51,0,0
 72-82,0,0,2.11,4.65,0,47.55,0,0,0,0,4.16,0.65,161.41,0,0.55,0,3.29,0,118.33,0,0,50.52,0,0,0.67,7.73,4.55,0,0,0,0,0,3.15,2433.53,0,0
 84-94,0,0,0.93,13.36,0,26.48,0,0,1.55,0.6,7.84,0,114.38,0.65,0,0,0,0,188.68,0,0,22.29,0,0,0.88,47.92,0.98,0,0,0,3.25,0,0,2415.92,0,0
 96-106,0,0,7.7,54.16,0,21.95,1.21,0,2.05,2.27,15.51,0,222.25,2.18,0.81,1.03,2.06,0,265.82,7.39,0,51.99,0.96,0,3.96,40.19,6.02,1.41,0,0,0,1.86,0.87,3121.91,1.34,8.74
108-118,4.13,0,3.67,18.04,0.42,23.54,0,3.06,0,25.42,8.66,0,117.3,0.84,0,0,11.45,0,211.69,0,0,41.51,0,0,0,27.44,1.29,8.44,0,0,0,0,0,2809.63,3.16,0
120,0,0,11.53,13.62,0,6.31,0,0,0,2.21,9.74,5.2,97.35,4.75,0,0,0,0,167.64,0,0,69.27,2.06,3.06,0,0,2.41,0,0,0,0,0,0,2843.93,0,0
