stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,543.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.38,243.62,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,5.69,0,0,0,0,15.99,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,86.43,19.27,0,0,37.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.48,0,7.85,8.37,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,149.55,0,0,0,115.67,0,0,0,0,12.99,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,1.33,7.99,1.07,0,0,0,0.97,0,0,0,0,0,0,0,4.45,0,5.52,0,0,4.24,27.46,1.15,0,1.32,1.68,0,0.81,2.87,5.82,0,0,5.86,13.16,0,0,1.07,0,0
 24-34,0,0,0.84,0.65,2.45,0,8.82,0,0,0,0,0,0,0,1.39,0,0,5.55,0,6.14,0,0,5.55,77.79,1.86,0,0,0,0,11.45,0,0,3.53,0,4.68,17.83,0,0,5.24,0,5.35
 36-46,0,0,0,0,1.45,0,9.68,0,0,11.58,0,0,0,0.98,0,0,0,1.46,0,12.28,2.07,0,6.18,68.67,1.66,0,0,0,0,14.5,0,0,0,0,0,20.51,0,0,2.68,0,0
 48-58,0,0,0,0,5.53,0.63,13.52,1.13,1.53,12.32,0,0.42,1.02,9.62,0.38,0,0.73,1.29,4.16,17.68,0.82,0,3.45,44.27,1.01,2.25,0,0,0,14.87,0,0,0,0,0,14.55,0,0,2.3,0,0
 60-70,0,0,0,0,7.31,0,13.01,0.69,0.62,35.29,0,0,0,7.45,0,0,0.72,0,1.56,36.87,1.01,0,2.6,32.87,0,1.62,1.66,0,0.63,29.93,0,0,0.76,0.62,0,11.14,1.58,0.61,8.19,0,0.99
 72-82,0,0,0.62,0,11.21,18.98,20.17,3.32,5.21,34.08,1.36,0,0.58,4.67,0,1.29,1,3.31,0.5,47.52,1.4,0,7.51,23.62,0,2.44,0,0,0,31.31,0,0,0.66,0,0,4.92,0,0.9,12.34,2.78,5.37
 84-94,0,0,0,0,19.4,15.86,4.15,1.41,0.83,33.75,2.35,0,1.22,12.6,5.74,0.61,1.05,2.29,0.73,60.87,0.71,0.72,2.77,27.41,0,1.22,0,0,0,65.47,0,0,1.38,0,0,3.9,1.91,5.04,6.87,0,4.68
 96-106,0,0,0,0,12.68,24.89,21.83,3.95,10.55,26.39,4.83,0,5.65,20.91,11.19,1.2,2.85,7.96,0,58.72,15.13,2.97,0.69,24.17,1.71,0.59,1.2,0,5.22,77.13,0,0,0,0,0,8.44,2.51,3.06,25.9,0.61,0
108-118,0,0,0,0,27.29,22.73,9.67,5.61,0.96,58.47,4.04,0,0,16.62,1.03,0,1.66,0.84,0,70.15,7.04,7.16,6.46,40.42,1.18,0.65,5.95,0,4.36,68.47,0,0,2.17,0,0,2.03,0.62,3.27,9.13,0,8.24
120,0,0,0,0,45.67,3.13,3.13,10.01,2.63,13.92,9.02,0,0,31.64,3.9,5.72,0,1.04,0,37.87,0,2.13,5.63,11.9,1.94,3.86,0,0,0,53.98,0,0,0,0,0,0,2.37,0,1.23,0,14.25
