stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.58,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,7.21,26.09,0,0,9.78,0,0,7.62,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3,0,1.44,0,0,0,0,0,0,3.27,0,0,0.96,0,0
 24-34,0,0,0,3.23,0,7.02,0,0,1.59,0,0,0,0,0,0,0,0,3.43,0,0,0,0,1136.26,0,34.22,0,0,0,5.27,0,0,79.61,0,0,0,0,0
 36-46,0,0,0,13.95,0,45.03,0,0,11.39,0,0,0,0,0,0,0,0,0,7.38,0.87,0,0,4829.01,0,58.95,0,0,0,10.15,0,0,489,0,0,0,0,0
 48-58,0,0,0,18.68,0,161.65,0.51,1.3,39.9,0,0,0,0.71,0,0,1.45,0,5.44,33.8,0,0.44,9.27,6272.11,2.02,22.58,0,0,0,1.5,0,0,1024.55,0,0,6.01,0,13.83
 60-70,0,0,0,14.94,0,180.4,0,0,24.93,0,0,5.1,0,0,1.15,1.16,0,0,30.01,0,7.18,0.68,6745.69,0,31.37,0,0,0.63,5.43,0,0.65,1335.04,0,0,13.48,0.81,1.77
 72-82,0,0,0,16.84,1.91,286.38,0,3.02,38.37,0.86,0,0.75,2.88,0,0,0.83,1.17,0,27.71,0,0,3.28,3852.66,0,52,0,0,3.08,3.67,0,0,808.09,1.21,0,2.23,0.96,9.1
 84-94,0,0,0,21.6,2.78,274.83,1.24,1.18,32.84,0.84,0,0,1.45,0,0,0.65,0,0,37.01,0,1.9,0.56,2647.41,0,28.26,0,0,0,3.89,0,0.69,598,0,2.41,6.03,1.02,0
 96-106,0,0,0,14.3,0,196.91,0,2.8,25.01,0.71,0,0,0,0,0.75,0,0,0,20.67,0,0,1.31,1705.68,0.66,48.2,2.11,0,0.81,4.95,5.44,7.42,204.05,0,0,1.24,0,3
108-118,0,0,0.77,19.53,2.97,195.35,1.16,0,23.86,0.5,0,0,0,1.01,0.42,0.47,0,0,15.78,0,0,5.52,1918.81,0,33,0,0,0,1.44,0,0,119.95,1.89,0,0.84,3.83,0
120,0,0,0,22.44,1.26,307.34,8.21,0,37.01,0,0,0,0,0,0,0,0,0,27.03,0,0,0,2983.57,0,29.43,0,0,0,0,0,0,100.32,0,0,2.15,15.16,0
