stage,axial,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,8.91,17.3,0,0,0,0,0,0,0,11.17,0,0,0,0
  7-9,0,0,0,11.24,0,0,0,0,36.74,0,0,3.81,0,0
 10-12,0,0,0,0,0,0,0,0,17.26,0,0,0,10.68,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42
 24-34,0,0,0,0,0,0,0,3.03,1.91,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0
 48-58,0,0,0,1.22,0.4,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,10.6,0,0,0,1.14,2.67,0,0,0,0,0
 72-82,0,0,0,6.95,0,0,0.69,1.28,5.22,0,0,0,0,0
 84-94,0,0,0,0.7,0,0,0,1.53,1.45,0,0.64,0,0,0
 96-106,0,0,0,5.79,0,0,0.7,1.11,0,0,0,0,0,0
108-118,0,0,0,0.88,0,0.7,1.04,0,0,0,0,0,0,0
120,0,0,1.53,0,0,0,0,0,5.08,0,0,0,0,0
