stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,205.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0
  5-6,6.56,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23,0,0,0,12.11,0,0,0
 14-21,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5.96,2.2,0,0
 24-34,0,0,0,0,0,0,18.59,0,0.62,0.84,0,2.19,0,0.6,0,30.89,0,0,0,0,0,0.63,0,1.86,1.55,0,1.06
 36-46,0,0,0.56,0,0,0,4.99,3.98,0,0,0,0,0,0,0,54.91,0.68,0,0.63,0,0,0,0.78,0,0.9,0,0
 48-58,0,0,0,0.39,0,0,12.87,1.41,0,0,2.52,0,0.41,0,0.79,53.31,0,7.15,0.48,0,0,0,0,0,2.27,0,0
 60-70,0,0,0,1.3,0,0,85.97,0,0,0,0.59,0,0,6.85,0,65.5,0,0.99,0,0,0,0,0,0,1.31,0,1.08
 72-82,0,0,0,1.59,0,0,194.29,0,0,0.64,5.94,0,0,6.78,1.03,158.15,0,0,2.41,0,2.24,0,0,0,10.08,0,4.86
 84-94,0,0,0,1.35,0,0,121.91,0.79,1.97,0.74,8.9,0,0,16.52,0,68.9,0,0,0.64,0,0,0,0,2.14,3.08,0.62,0.78
 96-106,0,0,0,0,7.51,0,190.13,0,0,0,16.43,0,0,8.12,0,76.04,0,0.97,2,0,0,1.94,0,2.13,0.67,1.74,0
108-118,0,0,0,0.45,0,2.65,212.03,0,1.05,0,4.69,0,1.02,8.94,0.45,150.03,0.46,0.9,1.54,0,0,0.79,0,0.96,3.96,0.54,4.71
120,0,0,0,0,0,0,145.49,0,5.26,0,13.72,0,0,28.44,0,116.16,1.17,0,0,0,0,0,0,3.03,0,0,0
