stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.53,647.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.2,762.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.82,0,0,0,12.41,0,23.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.68,94.85,89,0,5.95,0,98.84,0,0,0,0,0,137.13,0,0,0,0,0,0,0,0,0,0,0,1597.28,38.58,0,0,877.6,0,0,24.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,163.37,200.61,0,5.34,0,118.39,0,0,0,0,0,106.21,0,0,0,0,0,0,0,0,0,0,0,3482.93,82.32,0,0,2421.09,0,4.24,6.41,46.2,212.69,0,11.74,3.28,0,0,0,0,0
 14-21,0.89,0,21.61,630.8,57.8,0,465.6,0,1.89,0,17.86,19.27,5,2.43,29.23,2.56,2.07,0,1.76,12.47,198.12,3.6,0,125.24,1258.91,23.33,1.31,14.64,72.65,0,40.81,0,412.55,1.83,2.59,325.25,462.16,0,0,13.04,0,7.14
 24-34,0.88,0,9.58,212.62,10.74,0,261.08,0,6.66,3.02,23.34,26.11,0,14.74,67.02,4.88,0,7.63,2.56,15.7,267.46,2.57,1.79,103.98,910.77,13.07,6.12,14.34,1,0.99,79.4,0,1.58,4.13,0,75.89,280.69,0,0,123.6,0,34.31
 36-46,16.91,0,1.4,93.6,2.92,0,73.51,10.52,6.85,10.9,27.16,9.03,0,11.42,129.55,0,13.57,4,2.2,6.27,305,0,1.57,72.63,413.76,5.92,4.43,9.3,0,0.77,36.61,0.78,2.83,0,1.02,0,114.73,0,0.85,74.69,0.78,14.66
 48-58,0,0,0,76.17,6.93,0,46.87,4.33,17.03,15.79,26.01,5.69,0.37,17.64,94.82,0.77,3.12,2.92,4.6,7.16,215.67,0.45,7.62,65.17,178.25,2.43,3.93,4.82,0,0.87,34.15,0,0,0.56,0,0,59.19,0,0.85,42.06,0,40.59
 60-70,0,0,0,122.44,0.93,0,35.62,0,43.98,15.58,62.44,23.85,0,6.08,100.69,2.83,3.48,2.61,11.92,3.19,284.37,1.53,11.91,60.26,164.9,0,3.44,0,0,4.6,18.34,0,0,0,0,0,53.84,0,9.55,30.9,0.9,72.07
 72-82,0,0,0,112.08,0,0,70.22,1.32,25.57,33.14,84.17,6.67,0,10.02,99.6,2.41,12.01,5.16,0,9.98,490.3,3.81,23.29,80.62,120.39,0,3.65,3.78,0,14.25,7.86,0,0,3.23,0,0,27.46,5.69,10.59,54.12,11.42,80.39
 84-94,0,0,0,264.01,0,0.65,59.09,0,59.38,17.16,89.38,6.47,0,7.19,173.71,8.17,8.37,6.11,4.16,3.56,474.94,0,56.45,76.26,160.46,2.69,3.87,2.95,3.85,10.94,23.67,0,0,3.14,0,0,13.01,10.28,5.46,92.82,9.33,72.48
 96-106,0,0,0,403.11,4.06,1.05,71.57,1.44,67.22,16.77,87.71,13.89,0,22.33,245.25,11.48,3.83,8.21,12.42,7.45,775.67,1.6,39.05,104.08,204.05,0,11.22,8.34,0,31.95,52.24,0,0,1.1,0,0,4.58,4.43,28.15,108.32,6.13,56.49
108-118,0,0,0.49,671.13,4.39,0.46,70.52,5.83,98.17,36.52,102.69,17.2,0,12.53,220.45,15.08,25.39,8.03,0.45,6.97,1004.82,2.17,56.16,104.32,200.84,2.24,7.74,5.21,0,21.62,32.89,0,0,2.26,0,0,3.39,17.38,10.44,90.17,13.46,115
120,0,0,0,515.07,1.32,1.03,53.6,4.99,100.54,17.33,117.86,27.06,0,5.1,224.42,5.14,15.87,11.28,39.66,3.34,1071.66,10.25,25.03,106.92,231.35,3.6,4.98,27.8,0,49.33,24.94,0,0,3.35,1.32,0,0,8.01,20.42,93.24,12.16,49.77
