stage,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,periderm,spinal.cord
 10-12,0,0,0,0,0,0,4.04,0,0
 14-21,0,0,0,0,0,0,12.09,0,1.12
 24-34,0,11.04,0,0.87,0.62,0,54.92,0,4.24
 36-46,0,36.68,0,17.38,0,0,171.63,1.45,37.36
 48-58,0.63,62.51,1.26,36.49,8.27,0.59,186.57,0,58.42
 60-70,0,40.03,0,24.21,2.1,0,50.42,0,11.41
 72-82,0,15.78,0,6.79,1.12,0,36.05,0,3.92
 84-94,0,12.34,0,5.82,0,0,85.62,0,7.57
 96-106,0,10.94,0,9.74,0.56,0,19.36,0,3.56
108-118,0,1.85,0,8.09,1.88,0,11.55,0,0
120,0,21.16,0,7.08,0,0,46.96,0,1.81
