stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.08,0,0,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.78,0,0,0,12.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.96,28.68,9.89,9.86,0,0,0,2.06,0.84,0,2,0,0,7.68,0,0,15.41,118.02,1.71,3.53,2.07,1.73,0,23.82,0,2.72,30.12,40.87,0,1.76,0
 24-34,0,0,0.7,6.24,0,12.51,0,0.85,0,1.83,0.61,0,0.63,0,0,20.81,0,0,4.64,166,0,0,4.7,0,4.85,0,0,0,10.26,39.39,0,5.97,0
 36-46,0,0,0,0.68,0,9.98,0,1.53,1.62,2.67,0,0.56,0.56,0,0,5.18,0,0,0,37.97,0,0,0.74,0,4.55,0,1.81,0,0,4.57,0,0,0
 48-58,0,0,0,0.39,0,6.23,0,1.49,0,0.73,0,0,0,0,0,1.54,0,0,0,11.58,0,0,1.57,0,0.38,0,0,0,0,0.73,0,0,0
 60-70,0,0,0,2.57,0,3.57,0,0.63,0,5.53,0,0,0,0,2.65,9.64,0,0,1.79,10.85,5.48,0,0,0,1.16,0,0,0,0,3.54,0,2.72,0
 72-82,0,0,0,0.55,0,6.38,0,0,1.36,9.11,1.34,0,0,0,0,13.38,0,0,1.06,13.83,0,0,0,0,5.75,0,0,0,0,6.48,0,1.64,0
 84-94,0,1.05,0,1.46,0,4.09,0,0,0,7.74,0,0,0.62,0.66,0,9.97,0,0,0.68,2.39,0,0,2.88,0,2.09,0,0,0,0,0,0,0,0
 96-106,0,4.25,0,3.71,0,4.71,0.93,0,0.81,20.44,0,0.8,0,0,0,10.86,0,4.92,5.2,15.06,0,2.32,2.37,0,6.18,0,0,0,0,6.64,3.1,9.48,0
108-118,0,0,0,7.22,0,2.25,0,1.54,0,4.59,0,1.03,0.73,2.68,0,18.51,0,4.58,4.16,21.65,0,0,0,0,3.49,0,0,0,0,0,0,1.52,0.42
120,0,0,1.66,1.5,0,3.97,0,0,0,15.1,0,2.29,0,0,0,26.19,1.05,0,0,37.17,0,0,0,0,1.06,0,0,0,0,0,0,0,0
