stage,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
 14-21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,185.77,0,0
 24-34,0,0,0,0,0,0,1.17,0,0,0,19.84,0,0,575.35,0,1.37
 36-46,8.1,1.66,1.15,1.95,0,0,0,0,0,0.59,10.7,0,0,652.87,0,0
 48-58,0,11.09,1.93,0.81,0,0.44,0,1.48,3.37,0,12.75,0.38,0,452.63,0,10.71
 60-70,0,8.22,0,0,0,0,0,0.81,3.96,0,9.88,0,0,367.96,1.41,4.19
 72-82,0,0.56,2.99,0.7,0,0,0,2.86,0,0,13.17,0,0.56,144.44,0,0
 84-94,0,6.24,1.26,0,0,0,1.25,0,3.26,0,0.86,0,0,593.22,0,0
 96-106,5.34,5.06,5.17,2.16,0.83,0,0.84,1.28,3.81,0,26.17,0,0,463.75,0,0
108-118,3.03,6.29,0.47,0,0,0,4.74,0,5.3,0.53,2.75,0,0,395.61,0,3.69
120,3.11,0,0,0,0,0,0,0,0,0,12.85,0,0,178.04,0,0
