stage,axial,blastomeres,eye,glial,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,0,46.64,0,0,0,0,0,0,0,0,26.04,0,0
  5-6,9.55,18.82,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.33,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,27.7,0,0,3.57,0,0,0
 14-21,0,0,0,1.45,0,0,0,1.85,0,0,0,0.91,0
 36-46,0,0,0,0,0,0,0.93,0,0,0,0,0,0
 60-70,0,0,2.14,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.74,0,0,0,0.59
 84-94,0,0,0,0,0,0.94,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.43,0,0,0,0,0,0,0,0
