stage,erythrocytes,eye,fast.muscle,glial,ionocyte,mesenchyme,muscle,neural,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,4.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.2,0,0
 24-34,0,0,0,0,0.6,1.43,0.99,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,3.88,0,0,0,0
 48-58,0,0.42,0.51,0,0,0,0.39,2.58,0,0,0,0
 60-70,0,2.63,0,0,0,0,0,4.38,1.17,0,0.73,0
 72-82,0.97,0.69,0,0,0,0,0,1.64,0,0,0,6.02
 84-94,0,1.39,0,0,0,0.95,0,0,0,0,0,0
 96-106,0,0,0,0.62,0,0,0,8.51,0,0,0,0
108-118,0,0.51,0,1.12,0,0,0,1.98,0,0,0,0
120,0,0,0,0,0,0,0,17.19,0,0,0,0
