stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.05,0,0,0,0,0.81,1.4,0,0
 24-34,0.89,0,0,0,0,0,0,0,2.96,1.29,1,0,0,0,0,0
 36-46,0,0.74,0,0,0,0,0,0,2.28,0,0,0,0,0.79,0,0
 48-58,0,0,0,0.46,0,0,0,0,0.79,0,0,0.38,0,0,0,0
 60-70,1.78,0,0.69,0,0,0,0,0.73,0,0,0,0,0,0.81,0.66,0
 72-82,0,0,0,0,0.87,0,1.3,0.58,0,0,0,0.65,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0.8,0,0.91
 96-106,0,0,0.91,0,0,1.1,0,0.82,1.1,0,0,1.37,0,0,0,0
108-118,2.46,1.19,0,0,0,1.64,0.49,1.48,0,0,0,0,0,0,0,0
120,4.24,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0
